Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Caldazinha;2015;4,9;;;4,9;;4,1;;4,1
Caldazinha;2017;5,4;    ;    ;5,4;    ;5,5;    ;5,5
Campestre de Goiás;2005;2,7;4,3;;3,2;;3,3;;2,9
Campestre de Goiás;2007;;5;;4,3;2,8;3,5;;3,2
Campestre de Goiás;2009;5,1;5,2;;5,1;3,2;3,9;;3,5
Campestre de Goiás;2011;5,6;;;5,6;4,2;4,7;;4,3
Campestre de Goiás;2013;6,1;;;6,1;5,1;;;5,2
Campestre de Goiás;2015;5,6;;;5,6;;4,2;;4,3
Campestre de Goiás;2017;6,7;    ;    ;6,7;    ;5,4;    ;5,5
Campinaçu;2005;;4,5;;4,4;3,3;3,9;;3,6
Campinaçu;2007;4,4;4,2;;4,2;4;4,1;;4,1
Campinaçu;2009;4,1;;;4,2;4;3,4;;3,7
Campinaçu;2011;5,2;5,1;;5,1;4;4,4;;4,2
Campinaçu;2013;5,3;5,6;;5,5;4,9;;;4,9
Campinaçu;2015;5,1;;;5,1;5,5;3,7;;4,7
Campinaçu;2017;5,2;6,3;    ;5,6;4,8;5,2;    ;4,9
Campinorte;2005;4,4;;;4,4;;3,8;;3,8
Campinorte;2007;4,2;4;;4,2;;3,7;;3,7
Campinorte;2009;4,6;;;4,6;;3,9;;3,9
Campinorte;2011;4,6;4,6;;4,6;;4,7;;4,7
Campinorte;2013;5,3;6;;5,4;;4,5;;4,5
Campinorte;2015;5,3;;;5,4;;4,9;;4,9
Campinorte;2017;6,3;    ;    ;6,3;    ;5,4;    ;5,4
Campo Alegre de Goiás;2005;4,4;;;4,4;;3,7;;3,7
Campo Alegre de Goiás;2007;4;;;4;;4,4;;4,4
Campo Alegre de Goiás;2009;5,1;;;5,1;;3,4;;3,4
Campo Alegre de Goiás;2011;5,7;;;5,7;;4,1;;4,1
Campo Alegre de Goiás;2013;5,9;;;5,9;;4,4;;4,4
Campo Alegre de Goiás;2015;6,3;;;6,3;;4,6;;4,6
Campo Alegre de Goiás;2017;6,1;    ;    ;6,1;    ;4,9;    ;4,9
Campo Limpo de Goiás;2005;4;3,7;;3,9;3,9;3,3;;3,7
Campo Limpo de Goiás;2007;3,8;;;3,8;3,9;2,8;;3,4
Campo Limpo de Goiás;2009;4,3;;;4,3;4;2,4;;3,3
Campo Limpo de Goiás;2011;4,8;;;4,8;4,5;;;3,6
Campo Limpo de Goiás;2013;4,7;;;4,7;;3,6;;3,9
Campo Limpo de Goiás;2015;4,7;;;4,7;;3,7;;3,8
Campo Limpo de Goiás;2017;5,3;    ;    ;5,3;    ;4,5;    ;4,5
Campos Belos;2005;3,6;3,9;;3,7;;3,1;;3,1
Campos Belos;2007;3,3;3,4;;3,4;3,6;3,3;;3,3
Campos Belos;2009;4,3;5,3;;4,5;3,2;3,8;;3,6
Campos Belos;2011;4,8;5,7;;5;3,4;4,3;;4
Campos Belos;2013;5,4;5,1;;5,3;4,1;4,7;;4,4
Campos Belos;2015;5,3;;;5,3;4,1;4,7;;4,6
Campos Belos;2017;5,3;    ;    ;5,3;4,4;4,9;    ;4,7
Campos Verdes;2005;3,7;3,9;;3,8;;2,9;;2,9
Campos Verdes;2007;3,7;;;3,7;4;3,3;;3,4
Campos Verdes;2009;4,7;;;4,7;;3,8;;3,8
Campos Verdes;2011;4,7;;;4,7;;3,6;;3,6
Campos Verdes;2013;5,3;;;5,3;;4,9;;4,9
Campos Verdes;2015;5,5;;;5,5;;5,1;;5,1
Campos Verdes;2017;5,7;    ;    ;5,7;    ;5,6;    ;5,6
Carmo do Rio Verde;2005;4,4;4,4;;4,4;;4,1;;4,2
Carmo do Rio Verde;2007;4,4;;;4,4;2,8;3,9;;3,8
Carmo do Rio Verde;2009;4,5;;;4,5;;4;;4
Carmo do Rio Verde;2011;5,2;;;5,2;;4;;4
Carmo do Rio Verde;2013;5,6;;;5,6;;4,4;;4,4
Carmo do Rio Verde;2015;5,5;;;5,5;;5,2;;5,2
Carmo do Rio Verde;2017;6,2;    ;    ;6,2;    ;5,2;    ;5,2
Castelândia;2005;3,8;;;3,8;;3,2;;3,2
Castelândia;2007;4;;;4;;4;;4
Castelândia;2009;3,9;;;3,9;;3,6;;3,6
Castelândia;2011;4,3;;;4,3;;4;;4
Castelândia;2013;4,7;;;4,7;;4,3;;4,3
Castelândia;2015;5,3;;;5,3;;4,4;;4,4
Castelândia;2017;5,2;    ;    ;5,2;    ;5,1;    ;5,1
Catalão;2005;4,4;4,5;;4,5;3,8;3,8;;
Catalão;2007;4,5;4,7;;4,6;4;3,7;;3,8
Catalão;2009;4,6;5,3;;4,9;4,1;3,7;;3,8
Catalão;2011;5,3;5,8;;5,4;4,2;4,2;;4,1
Catalão;2013;6,8;6,4;;6,7;5,8;4,6;;4,7
Catalão;2015;6,8;6,4;;6,7;5,6;4,8;;4,9
Catalão;2017;6,6;6,5;    ;6,6;5,1;5,3;    ;5,3
Caturaí;2005;;4;;4,5;;3,8;;3,8
Caturaí;2007;4;4,5;;4,3;;3,9;;3,9
Caturaí;2009;5,1;5,5;;5;;3,9;;3,9
Caturaí;2011;5,1;;;5,1;;4,5;;4,5
Caturaí;2013;5,2;;;5,2;;5,7;;5,7
Caturaí;2015;5,3;;;5,3;;5,2;;5,2
Caturaí;2017;5,8;    ;    ;5,8;    ;4,9;    ;4,9
Cavalcante;2005;3,1;3,6;;3,3;;3,1;;3,1
Cavalcante;2007;3,3;5;;3,7;;3,6;;3,6
Cavalcante;2009;3,8;3,3;;3,6;;3,1;;3,1
Cavalcante;2011;4,1;;;4,1;;3,4;;3,4
Cavalcante;2013;4,4;;;4,4;;3,6;;3,6
Cavalcante;2015;4,3;;;4,3;;4,2;;4,2
Cavalcante;2017;4,4;    ;    ;4,4;    ;4,5;    ;4,5
Ceres;2005;;4,7;;4,6;;4,3;;4,3
Ceres;2007;4,4;5,5;;5,1;;4,5;;4,5
Ceres;2009;5,6;5,5;;5,5;;4,5;;4,5
Ceres;2011;6,1;5,8;;5,9;;4,9;;4,9
Ceres;2013;6,4;5,2;;6,2;;5;;5
Ceres;2015;6,6;6;;6,5;;5,1;;5,1
Ceres;2017;6,7;7,1;    ;6,8;    ;5,6;    ;5,6
Cezarina;2005;4,6;;;4,6;;3,6;;3,6
Cezarina;2007;4,4;;;4,4;;3,6;;3,6
Cezarina;2009;4,6;;;4,7;;3,6;;3,6
Cezarina;2011;5,6;;;5,6;;3,7;;3,7
Cezarina;2013;5,3;;;5,3;;4,6;;4,6
Cezarina;2015;5,4;;;5,4;;4,1;;4,1
Cezarina;2017;5,9;    ;    ;5,9;    ;4,3;    ;4,3
Chapadão do Céu;2005;4,1;;;4,1;3,6;;;3,6
Chapadão do Céu;2007;5,1;;;5,1;5;;;5
Chapadão do Céu;2009;5,3;;;5,3;4,1;;;4,1
Chapadão do Céu;2011;6,1;;;6,1;5,3;;;5,3
Chapadão do Céu;2013;7,1;;;7,1;5,5;;;5,5
Chapadão do Céu;2015;6,6;;;6,6;5,7;;;5,7
Chapadão do Céu;2017;6,7;    ;    ;6,7;5,8;    ;    ;5,8
Cidade Ocidental;2005;3,8;;;3,8;3,3;3;;3,2
Cidade Ocidental;2007;4,1;;;4,1;3,5;3,6;;3,5
Cidade Ocidental;2009;4,1;;;4,1;3,4;3,9;;3,6
Cidade Ocidental;2011;4,4;;;4,4;3,2;4,4;;3,5
Cidade Ocidental;2013;4,6;;;4,6;3,7;4,8;;4
Cidade Ocidental;2015;5;;;5;3,8;4,9;;4,1
Cidade Ocidental;2017;5;    ;    ;5;4,3;4,9;    ;4,5
Cocalzinho de Goiás;2005;3,4;4;;3,7;2,9;3,6;;3,2
Cocalzinho de Goiás;2007;3,7;3,5;;3,7;3,2;3,3;;3,3
Cocalzinho de Goiás;2009;4,1;5,2;;4,2;3,5;3,3;;3,5
Cocalzinho de Goiás;2011;4,8;5,1;;4,8;3,8;3,8;;3,8
Cocalzinho de Goiás;2013;5,2;;;5,2;3,5;4,6;;3,8
Cocalzinho de Goiás;2015;5,3;;;5,3;3,5;4,1;;3,7
Cocalzinho de Goiás;2017;5,8;    ;    ;5,8;4,6;4,9;    ;4,7
Colinas do Sul;2005;3,7;3,5;;3,7;;3,6;;3,7
Colinas do Sul;2007;3,3;3,4;;3,2;;3,2;;3,2
Colinas do Sul;2009;3,8;4,8;;4,1;3,8;3,1;;3,4
Colinas do Sul;2011;4,6;;;4,7;3,7;4,7;;4,3
Colinas do Sul;2013;6,4;5;;6;4,1;5,2;;4,9
Colinas do Sul;2015;4,9;;;4,9;;4,6;;4,6
Colinas do Sul;2017;5,5;    ;    ;5,5;    ;5,3;    ;5,3
Córrego do Ouro;2005;3,9;;;3,9;;3,5;;3,6
Córrego do Ouro;2007;4,6;;;4,6;;4;;4,1
Córrego do Ouro;2009;5,1;;;5,1;;3,7;;3,7
Córrego do Ouro;2011;5,2;;;5,2;;5;;4,9
Córrego do Ouro;2013;6,7;;;6,7;;5,9;;5,9
Córrego do Ouro;2015;6,1;;;6,1;;5,7;;5,7
Córrego do Ouro;2017;6,9;    ;    ;6,9;    ;6,4;    ;6,4
Corumbá de Goiás;2005;4,4;4,7;;4,4;;3,8;;3,8
Corumbá de Goiás;2007;4,5;;;4,5;;3,7;;3,7
Corumbá de Goiás;2009;4,8;;;4,8;;3,6;;3,6
Corumbá de Goiás;2011;5,7;;;5,7;;4,4;;4,4
Corumbá de Goiás;2013;6;;;6;;5;;5
Corumbá de Goiás;2015;5,8;;;5,8;;4,7;;4,7
Corumbá de Goiás;2017;5,9;    ;    ;5,9;    ;5;    ;5
Corumbaíba;2005;4;;;4;;3,9;;
Corumbaíba;2007;4,4;;;4,4;;3,6;;3,6
Corumbaíba;2009;5,4;;;5,4;;3,5;;3,5
Corumbaíba;2011;6,6;;;6,6;;4,5;;4,5
Corumbaíba;2013;6,9;;;6,9;;4,8;;4,8
Corumbaíba;2015;7,2;;;7,2;;4,9;;5
Corumbaíba;2017;7,3;    ;    ;7,3;    ;5,2;    ;5,2
Cristalina;2005;3,5;3,5;;3,4;3,4;3,2;;3,3
Cristalina;2007;3,9;;;3,9;4,3;3;;3,6
Cristalina;2009;4,1;;;4,1;3,9;2,9;;3,4
Cristalina;2011;4,4;;;4,4;4,3;3,5;;3,8
Cristalina;2013;4,7;;;4,7;4,4;4,3;;4,4
Cristalina;2015;4,7;;;4,7;4,3;4,7;;4,4
Cristalina;2017;5,7;    ;    ;5,7;5,2;5;    ;5
Cristianópolis;2005;3,3;3,6;;3,2;;4,1;;4
Cristianópolis;2007;3,8;4,8;;3,8;3,6;3,5;;3,6
Cristianópolis;2009;4,6;;;4,7;4,2;3,7;;3,9
Cristianópolis;2011;4,4;;;4,4;2,6;3,2;;3
Cristianópolis;2013;5;;;5;4,3;;;4,4
Cristianópolis;2015;5,2;;;5,2;4,5;4,9;;4,6
Cristianópolis;2017;5,4;    ;    ;5,4;4,8;    ;    ;4,8
Crixás;2005;3,7;4,4;;3,9;;3;;3
Crixás;2007;5,5;4,9;;5,3;;3,9;;3,9
Crixás;2009;5,3;;;5,3;;4;;4
Crixás;2011;5,3;;;5,3;;4,5;;4,5
Crixás;2013;5,2;;;5,2;;4,7;;4,7
Crixás;2015;5,6;;;5,6;;5,2;;5,2
Crixás;2017;5,8;    ;    ;5,8;    ;5,4;    ;5,4
Cromínia;2005;;4,8;;4,8;;0,8;;1,8
Cromínia;2007;;5;;5;;4,1;;4,1
Cromínia;2009;;5,7;;5,6;;3,1;;3,2
Cromínia;2011;;5,4;;5,5;;3,2;;3,2
Cromínia;2013;;6,7;;6,7;;5,4;;5,4
Cromínia;2015;;6,8;;6,8;;4,1;;4,1
Cromínia;2017;    ;6,9;    ;6,9;    ;5,8;    ;5,8
Cumari;2005;;4,9;;4,9;;3,6;;
Cumari;2007;;4;;4;;3,6;;3,6
Cumari;2009;;4,8;;4,8;;3,9;;3,9
Cumari;2011;;5,3;;5,3;;3,6;;3,6
Cumari;2013;;6,8;;6,8;;5,4;;5,4
Cumari;2015;;7,1;;7,1;;5,9;;5,9
Cumari;2017;    ;6,5;    ;6,5;    ;5,8;    ;5,8
Damianópolis;2005;;3,6;;3,6;;4;;3,9
Damianópolis;2007;3,5;4,2;;4,2;;3,6;;3,5
Damianópolis;2009;;5,1;;4,9;;4;;4
Damianópolis;2011;;4,5;;4,7;;4;;4
Damianópolis;2013;4,3;;;4,3;;5;;5
Damianópolis;2015;5;;;5;;5,1;;5,1
Damianópolis;2017;5,2;    ;    ;5,2;    ;4,9;    ;4,9
Damolândia;2005;;5;;4,9;;4,1;;4,1
Damolândia;2007;3,7;;;3,8;;3,9;;3,9
Damolândia;2009;5,1;;;5,1;;4,1;;4,1
Damolândia;2011;4,9;;;;;4,4;;4,4
Damolândia;2013;5,9;;;5,9;;5,1;;5,1
Damolândia;2015;5,8;;;5,8;;5;;5
Damolândia;2017;6,5;    ;    ;6,5;    ;5,4;    ;5,4
Davinópolis;2005;;;;;;;;
Davinópolis;2007;4,3;3,9;;4,1;;3,8;;3,8
Davinópolis;2009;;;;;;3,8;;3,8
Davinópolis;2011;3,8;;;;;;;
Davinópolis;2013;6;;;6;;;;
Davinópolis;2015;;;;;;4,4;;4,4
Davinópolis;2017;    ;    ;    ;    ;    ;4,5;    ;4,5
Diorama;2005;;4,4;;4,3;;;;
Diorama;2007;;;;;;4,5;;4,5
Diorama;2009;;5,8;;5,8;;4,1;;4,1
Diorama;2011;;5,5;;5,5;;3,8;;3,8
Diorama;2013;;5,6;;5,6;;4,9;;4,9
Diorama;2015;;6,8;;6,8;;5,3;;5,3
Diorama;2017;    ;6,8;    ;6,8;    ;5;    ;5
Divinópolis de Goiás;2005;2,9;;;2,9;;2,7;;2,8
Divinópolis de Goiás;2007;3,7;;;3,7;;3,3;;3,5
Divinópolis de Goiás;2009;;3,7;;3,7;;3,5;;3,5
Divinópolis de Goiás;2011;3,8;4,4;;4,5;;4,1;;4
Divinópolis de Goiás;2013;4,9;;;4,9;;4,1;;4
Divinópolis de Goiás;2015;5,2;;;5,2;;4;;4
Divinópolis de Goiás;2017;4,9;    ;    ;4,9;    ;4,8;    ;4,8
Doverlândia;2005;4;4,9;;4,3;;3,7;;3,5
Doverlândia;2007;4,3;4,6;;4,5;;3,6;;3,7
Doverlândia;2009;4,3;4,9;;4,6;;4,4;;4,2
Doverlândia;2011;5,2;5,5;;5,5;;4,1;;4,1
Doverlândia;2013;5,6;6,5;;6;;5;;4,9
Doverlândia;2015;5,3;7,6;;5,8;;5,4;;5,3
Doverlândia;2017;5,5;    ;    ;5,5;    ;5,6;    ;5,6
Edealina;2005;4,5;;;4,6;3,2;;;3,2
Edealina;2007;5;4,3;;4,7;3,5;;;3,5
Edealina;2009;5,4;;;5,4;3,8;;;3,8
Edealina;2011;4,8;;;4,9;3,7;;;3,8
Edealina;2013;5,5;;;5,5;3,9;;;3,9
Edealina;2015;5,8;;;5,8;4,5;;;4,5
Edealina;2017;5,8;    ;    ;5,8;4,6;    ;    ;4,6
Edéia;2005;4,5;4,5;;4,5;3,5;4,1;;3,9
Edéia;2007;4,5;4,8;;4,5;4,3;4,1;;4,2
Edéia;2009;5;4,6;;4,9;4,2;4,2;;4,2
Edéia;2011;5,2;;;5,2;3,8;4,5;;4,2
Edéia;2013;6,1;;;6,1;4,5;5;;4,8
Edéia;2015;6,1;;;6,1;;5;;4,9
Edéia;2017;6,7;    ;    ;6,7;    ;5,1;    ;5,1
Estrela do Norte;2005;;3,8;;3,8;3,8;3,2;;3,4
Estrela do Norte;2007;4,3;4,6;;4,3;3,7;4;;3,8
Estrela do Norte;2009;4,1;5;;4,5;3,6;4,8;;4,2
Estrela do Norte;2011;4;;;4;4,7;3,8;;4,1
Estrela do Norte;2013;5,6;;;5,6;4,8;5,1;;5
Estrela do Norte;2015;5,3;;;5,3;;;;
Estrela do Norte;2017;6,1;    ;    ;6,1;5,8;4,8;    ;5,3
Faina;2005;;4,3;;4;;3,5;;3,5
Faina;2007;3,8;4,8;;4,2;;3,6;;3,4
Faina;2009;4,7;4,7;;4,7;;4;;4
Faina;2011;;4,4;;4,5;;4,4;;4,4
Faina;2013;;5,2;;5,5;;4,5;;4,3
Faina;2015;5;;;5;;4,8;;4,8
Faina;2017;5,5;    ;    ;5,5;    ;5,5;    ;5,5
Fazenda Nova;2005;4,1;4,4;;4,3;;2,8;;2,9
Fazenda Nova;2007;5;4,7;;4,9;;3,8;;3,8
Fazenda Nova;2009;5;5,1;;5,1;;3,9;;3,9
Fazenda Nova;2011;6;5,6;;5,6;;4,6;;4,7
Fazenda Nova;2013;;6,3;;6,3;;5,2;;5,2
Fazenda Nova;2015;;7,4;;7,4;;6;;6
Fazenda Nova;2017;    ;7,4;    ;7,4;    ;6;    ;6
Firminópolis;2005;;4;;4;;4;;4
Firminópolis;2007;4,7;4,6;;4,7;;3,7;;3,7
Firminópolis;2009;5,1;5,9;;5,6;;3,7;;3,7
Firminópolis;2011;5,6;6,2;;5,8;;4,2;;4,2
Firminópolis;2013;6,3;;;6,3;;5,1;;5,1
Firminópolis;2015;6,3;;;6,3;;4,7;;4,7
Firminópolis;2017;7,5;    ;    ;7,5;    ;5,3;    ;5,3
Flores de Goiás;2005;3;;;3,1;;3,6;;3,4
Flores de Goiás;2007;3,6;4,8;;3,7;;3,3;;3,3
Flores de Goiás;2009;3,2;;;3,2;;3,6;;3
Flores de Goiás;2011;4,2;;;4,2;;4,2;;4
Flores de Goiás;2013;4,1;;;4,1;;4,6;;4,3
Flores de Goiás;2015;4,5;;;4,5;;4,3;;4
Flores de Goiás;2017;4,7;    ;    ;4,7;3,4;4,4;    ;4
Formosa;2005;4,1;;;3,8;4;3,2;;3,4
Formosa;2007;4,3;3,7;;4,3;4,1;3,3;;3,6
Formosa;2009;4,7;;;4,7;4,2;3,5;;3,9
Formosa;2011;4,9;;;4,9;3,9;3,8;;3,9
Formosa;2013;4,9;;;5;4,2;4,3;;4,2
Formosa;2015;5,2;;;5,2;4,3;4,4;;4,3
Formosa;2017;5,2;    ;    ;5,2;3,8;4,7;    ;4,2
Formoso;2005;3,7;4,6;;4,4;;3,7;;3,7
Formoso;2007;4,3;5;;4,6;;4,3;;4,3
Formoso;2009;4,2;5,2;;4,6;;4,1;;4,1
Formoso;2011;5,3;6;;5,5;;;;
Formoso;2013;5,5;6,3;;5,9;;4,3;;4,3
Formoso;2015;6;;;6;;5,2;;5,2
Formoso;2017;7,1;7,8;    ;7,4;    ;5,7;    ;5,7
Gameleira de Goiás;2005;;3,9;;3,9;;;;
Gameleira de Goiás;2007;4,1;;;4,1;4;;;4
Gameleira de Goiás;2009;4,7;;;4,7;4,8;;;4,8
Gameleira de Goiás;2011;5;;;5;4,6;;;4,6
Gameleira de Goiás;2013;5,4;;;5,4;5;;;5
Gameleira de Goiás;2015;5,2;;;5,2;5,3;;;5,3
Gameleira de Goiás;2017;5,1;    ;    ;5,1;5,2;    ;    ;5,2
Goianápolis;2005;3,7;4,5;;3,8;;3,6;;3,6
Goianápolis;2007;4;;;4;;3,8;;3,8
Goianápolis;2009;4,1;;;4,1;;4;;4
Goianápolis;2011;5;;;5;;4,4;;4,4
Goianápolis;2013;5,3;;;5,3;;4,9;;4,9
Goianápolis;2015;5,7;;;5,7;;5;;5
Goianápolis;2017;5,9;    ;    ;5,9;    ;5,5;    ;5,5
Goiandira;2005;5,1;4,5;;4,7;;4,6;;
Goiandira;2007;4,8;4,9;;4,8;;4,5;;4,5
Goiandira;2009;6,9;5,3;;6,1;;4,4;;4,4
Goiandira;2011;7,2;5,9;;6,7;;4,3;;4,3
Goiandira;2013;6,9;5,8;;6,5;;5,3;;5,3
Goiandira;2015;5,9;5,9;;5,9;;4,9;;4,9
Goiandira;2017;6,7;6,3;    ;6,5;    ;5,3;    ;5,3
Goianésia;2005;4,3;4;;4,3;;4;;4
Goianésia;2007;4,8;3,9;;4,8;;4;;4
Goianésia;2009;5,5;;;5,5;;4,1;;4,1
Goianésia;2011;5,8;;;5,8;;4,5;;4,5
Goianésia;2013;6,6;;;6,6;;5,4;;5,4
Goianésia;2015;6,9;;;6,9;;5,6;;5,6
Goianésia;2017;7,1;    ;    ;7,1;    ;5,8;    ;5,8
Goiânia;2005;3,9;4;;3,9;2,9;3,4;;3,2
Goiânia;2007;4,2;4,1;5,1;4,2;3,3;3,5;5,5;3,4
Goiânia;2009;5,1;4,9;5,5;5;3,8;3,7;5,3;3,8
Goiânia;2011;5,3;5,4;;5,3;3,7;4,1;;3,9
Goiânia;2013;5,4;6,1;6,8;5,5;4,5;4,7;4,9;4,6
Goiânia;2015;5,6;6,3;6,5;5,7;4,6;5,2;6;4,9
Goiânia;2017;5,8;7;6,5;5,9;4,7;5,7;6,1;5,3
Goianira;2005;3,8;4,5;;4;2,7;3;;2,9
Goianira;2007;3,6;4,1;;3,8;3,1;3,1;;3,1
Goianira;2009;4,6;4,7;;4,6;3,6;3,7;;3,6
Goianira;2011;5,1;5,6;;5,2;3,4;4;;3,8
Goianira;2013;5,3;5,4;;5,3;3,4;4,3;;4,2
Goianira;2015;5,2;;;5,2;3,8;4,5;;4,3
Goianira;2017;5,7;    ;    ;5,7;4,4;5,1;    ;5
Goiás;2005;;4,6;;4,3;;3,6;;3,7
Goiás;2007;;4,6;;4,6;4,1;3,7;;3,7
Goiás;2009;5,1;5,5;;5,5;;3,9;;4
Goiás;2011;;5,6;;5,6;;4,4;;4,4
Goiás;2013;4,7;6,7;;6,1;;4,7;;4,7
Goiás;2015;5,5;6,5;;6;;4,7;;4,8
Goiás;2017;6;7;    ;6,5;    ;5,7;    ;5,7
Goiatuba;2005;4;4,3;;4;3,8;3;;3,3
Goiatuba;2007;4,8;3,6;;4,6;4,4;3,4;;3,8
Goiatuba;2009;5;5,2;;5;4,4;3;;3,7
Goiatuba;2011;5,6;5,5;;5,6;4,7;4;;4,4
Goiatuba;2013;5,9;6,1;;6;4,7;4,4;;4,6
Goiatuba;2015;5,9;6,2;;6;;4,6;;4,7
Goiatuba;2017;5,9;    ;    ;5,9;4,1;5,1;    ;5,1
Gouvelândia;2005;3,6;3,7;;3,7;;3,5;;
Gouvelândia;2007;4,2;;;4,2;;4,1;;4,1
Gouvelândia;2009;;;;;;4,1;;4,1
Gouvelândia;2011;4,9;;;4,9;;4,2;;4,2
