Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Caturaí;2018;6,09666666666667;4;6,72;5,24;8,79;10;4,61;5,8;4,9;4,81
Cavalcante;2012;3,755;;;;3,16;3,85;5,14;3,6;3,1;3,68
Cavalcante;2014;4,41333333333333;;;;3,15;7,73;4,46;4,1;3,4;3,64
Cavalcante;2016;3,59777777777778;2,17;0;1,5;3,77;8,11;6,23;4,3;4,2;2,1
Cavalcante;2018;4,00888888888889;3,33;0;0,56;3,12;9,36;7,39;4,4;4,5;3,42
Ceres;2012;6,57333333333333;;;;8,41;9,42;7,73;5,5;4,5;3,88
Ceres;2014;7,275;;;;8,02;10;10;5,9;4,9;4,83
Ceres;2016;6,07666666666667;8,42;4,47;6,68;6,25;3,54;10;6,5;5,1;3,73
Ceres;2018;6,37;6,36;3,96;5,7;10;10;4,19;6,8;5,6;4,72
Cezarina;2012;5,65833333333333;;;;8,02;8,12;4,42;4,7;3,6;5,09
Cezarina;2014;5,97666666666667;;;;7,17;8,22;6,47;5,6;3,7;4,7
Cezarina;2016;5,93555555555556;8,46;4,38;4,45;7,12;8,3;5,74;5,4;4,1;5,47
Cezarina;2018;6,08333333333333;9,29;3,85;3,03;9,86;7,77;5,37;5,9;4,3;5,38
Chapadão do Céu;2012;5,105;;;;7,32;4,19;4,46;5,3;4,1;5,26
Chapadão do Céu;2014;6,48;;;;6,13;10;5,9;6,1;5,3;5,45
Chapadão do Céu;2016;6,03222222222222;6,32;6,15;3,38;4,93;10;9,03;6,6;5,7;2,18
Chapadão do Céu;2018;6,50888888888889;3,64;6,55;2,81;10;10;10;6,7;5,8;3,08
Cidade Ocidental;2012;5,28666666666667;;;;5,77;7,6;6,7;4,1;3,6;3,95
Cidade Ocidental;2014;4,49333333333333;;;;4,28;5,24;5,4;4,4;3,5;4,14
Cidade Ocidental;2016;5,91777777777778;8,48;7,15;3,5;4,8;8,96;6,88;5;4,1;4,39
Cidade Ocidental;2018;5,89;8,08;6,35;3,98;7,33;8,23;4,81;5;4,5;4,73
Cocalzinho de Goiás;2012;4,38166666666667;;;;4,48;5,8;4,36;4,2;3,5;3,95
Cocalzinho de Goiás;2014;5,51833333333333;;;;2,53;10;8,61;4,8;3,8;3,37
Cocalzinho de Goiás;2016;5,81444444444445;8,57;4,68;3,32;3,56;10;9,14;5,3;3,7;4,06
Cocalzinho de Goiás;2018;6,55444444444444;8,71;5,3;3,61;7,67;10;8,9;5,8;4,7;4,3
Colinas do Sul;2012;4,14333333333333;;;;5,5;5,79;3,44;4,1;3,4;2,63
Colinas do Sul;2014;5,40333333333333;;;;3,13;9,71;6,26;4,7;4,3;4,32
Colinas do Sul;2016;5,53;4,44;2,67;1,61;9,24;10;9,72;4,9;4,6;2,59
Colinas do Sul;2018;5,35777777777778;5;2,76;1,88;8,91;10;4,83;5,5;5,3;4,04
Córrego do Ouro;2012;5,615;;;;9,31;7,61;3,58;5,1;3,7;4,39
Córrego do Ouro;2014;5,43833333333333;;;;4,15;6,58;5,78;5,2;4,9;6,02
Córrego do Ouro;2016;6,11444444444444;6,25;4,43;3,81;9,54;5,98;7,34;6,1;5,7;5,88
Córrego do Ouro;2018;6,33555555555556;7,5;5,18;4,36;5,79;6,86;8,26;6,9;6,4;5,77
Corumbá de Goiás;2012;4,86333333333333;;;;2,6;7,04;7,1;4,8;3,6;4,04
Corumbá de Goiás;2014;3,87333333333333;;;;1,36;3,56;3,52;5,7;4,4;4,7
Corumbá de Goiás;2016;4,82777777777778;4;5,12;6,01;2,03;8,63;3,74;5,8;4,7;3,42
Corumbá de Goiás;2018;5,23444444444444;6,67;5,29;5,45;2,56;5,27;8,28;5,9;5;2,69
Corumbaíba;2012;4,77;;;;7,91;6,07;3,46;5,4;3,5;2,28
Corumbaíba;2014;5,90666666666667;;;;7,03;7,15;6,22;6,6;4,5;3,94
Corumbaíba;2016;6,54777777777778;9,06;6,37;5,5;10;7,89;4,91;7,2;5;3
Corumbaíba;2018;6,38666666666667;8,97;6,28;3,75;10;8,19;4,47;7,3;5,2;3,32
Cristalina;2012;4,9;;;;4,11;6,2;5,67;4,1;3,4;5,92
Cristalina;2014;4,69166666666667;;;;3,61;6,64;3,93;4,4;3,8;5,77
Cristalina;2016;4,75;6,28;4,24;2,47;1,03;9,12;4,76;4,7;4,4;5,75
Cristalina;2018;5,43222222222222;6,67;5,27;2,77;6,53;8,61;3,79;5,7;5;4,55
Cristianópolis;2012;6,26166666666667;;;;6,73;8,77;5,58;4,7;3,9;7,89
Cristianópolis;2014;6,85;;;;8,25;10;10;4,4;3;5,45
Cristianópolis;2016;6,50666666666667;6;6,26;2,67;10;10;10;5,2;4,6;3,83
Cristianópolis;2018;5,78555555555556;6;6,03;1,41;10;10;4,78;5,4;4,8;3,65
Crixás;2012;6,025;;;;8,66;7,16;7,35;5,3;4;3,68
Crixás;2014;6,14833333333334;;;;7,63;7,74;7,83;5,3;4,5;3,89
Crixás;2016;4,72444444444444;6,12;3,55;2,57;5,97;4,19;5,08;5,6;5,2;4,24
Crixás;2018;5,70777777777778;5,91;4,72;2,08;10;9,17;4,64;5,8;5,4;3,65
Cromínia;2012;5,33;;;;6,36;6,29;6,14;5,6;3,2;4,39
Cromínia;2014;5,775;;;;3,84;9,96;8,74;5,5;3,2;3,41
Cromínia;2016;6,29777777777778;3,64;4,12;3,58;10;10;10;6,8;4,1;4,44
Cromínia;2018;6,59222222222222;5,56;4,79;3,78;10;10;10;6,9;5,8;2,5
Cumari;2012;5,93666666666667;;;;8,84;9,77;6,03;4,8;3,9;2,28
Cumari;2014;4,55;;;;6,64;4,1;5,61;5,3;3,6;2,05
Cumari;2016;4,77888888888889;2,14;4,67;4,26;5,79;6,73;4,03;7,1;5,9;2,39
Cumari;2018;6,01111111111111;3,57;6,41;4,96;8,84;7,86;7,66;6,5;5,8;2,5
Damianópolis;2012;5,435;;;;3,04;10;8,04;4,9;4;2,63
Damianópolis;2014;5,88833333333333;;;;4,9;7,98;10;4,7;4;3,75
Damianópolis;2016;5,57555555555555;5;2,68;2,54;7,47;10;9,18;5;5,1;3,21
Damianópolis;2018;4,63;0;2,06;1,85;6,74;10;8,42;5,2;4,9;2,5
Damolândia;2012;6,275;;;;6,32;8,92;7,42;5,1;4,1;5,79
Damolândia;2014;7,006;;;;5,18;10;10;;4,4;5,45
Damolândia;2016;6,43;5;3,87;4,53;10;9,64;8,97;5,8;5;5,06
Damolândia;2018;5,43777777777778;1,43;4,08;3,92;10;9,9;2,9;6,5;5,4;4,81
Davinópolis;2012;5,10166666666667;;;;7,47;8,61;5,99;0;3,8;4,74
Davinópolis;2014;4,475;;;;5,74;4,94;4,04;;;3,18
Davinópolis;2016;4,21375;2,86;5,46;2,57;5,98;6,16;3,89;;4,4;2,39
Davinópolis;2018;4,64375;2,5;4,91;0,93;10;4,82;8,91;;4,5;0,58
Diorama;2012;7,265;;;;8,82;10;9,08;5,8;4,1;5,79
Diorama;2014;5,15666666666667;;;;4,53;5,41;6,43;5,5;3,8;5,27
Diorama;2016;4,78222222222222;4,29;3,42;2,67;5,27;4,32;5,91;6,8;5,3;5,06
Diorama;2018;4,53;6;3,92;3,14;3,98;3,28;4,27;6,8;5;4,38
Divinópolis de Goiás;2012;5,05166666666667;;;;5,49;7,54;7,1;3,7;3,5;2,98
Divinópolis de Goiás;2014;6,135;;;;7,08;10;10;4,5;4;1,23
Divinópolis de Goiás;2016;5,64777777777778;3,75;2,3;2,65;9,51;10;10;5,2;4;3,42
Divinópolis de Goiás;2018;4,90888888888889;3,75;1,64;0,18;9,78;10;5,09;4,9;4,8;4,04
Doverlândia;2012;4,26666666666667;;;;2,71;6,86;4,45;4,6;4,2;2,78
Doverlândia;2014;4,17333333333333;;;;3,23;4,41;4,69;5,5;4,1;3,11
Doverlândia;2016;4,67888888888889;4,55;2,51;2,69;4,59;8,75;5,06;5,8;5,3;2,86
Doverlândia;2018;4,79555555555556;6,67;4,07;2,61;4,85;8,04;3,07;5,5;5,6;2,75
Edealina;2012;4,70166666666667;;;;6,22;8,81;0,3;5,4;3,8;3,68
Edealina;2014;6,18333333333333;;;;7,52;10;8,83;4,9;3,8;2,05
Edealina;2016;7,28555555555555;10;7,48;4,87;10;10;9,71;5,8;4,5;3,21
Edealina;2018;7,05333333333333;10;7,26;4,82;10;10;7,35;5,8;4,6;3,65
Edéia;2012;6,08666666666667;;;;6;8,48;8,35;4,9;4,2;4,59
Edéia;2014;5,61666666666667;;;;5,46;6,87;7,81;5,2;4,2;4,16
Edéia;2016;5,59222222222222;5,56;4,92;2,59;6,41;8,69;6,54;6,1;4,9;4,62
Edéia;2018;6,01666666666667;6,25;5,83;2,24;10;8,17;5,3;6,7;5,1;4,56
Estrela do Norte;2012;5,90166666666667;;;;6,36;8,13;9,38;4,5;4,2;2,84
Estrela do Norte;2014;5,985;;;;5;9,67;8,59;4;4,1;4,55
Estrela do Norte;2016;5,895;6;3,24;1,62;7,66;10;8,28;5,3;;5,06
Estrela do Norte;2018;5,88333333333333;6;3,08;1,41;10;10;6,25;6,1;5,3;4,81
Faina;2012;5,07833333333333;;;;4,82;8,19;6,65;4,7;4;2,11
Faina;2014;4,20166666666667;;;;1,81;5,06;7,17;4,5;4,4;2,27
Faina;2016;3,98444444444444;2,22;2,09;1,68;5,14;7,72;4,86;5;4,8;2,35
Faina;2018;5,21;8,57;3,34;1,84;6,29;9,04;5,35;5,5;5,5;1,46
Fazenda Nova;2012;3,04;;;;5,08;0;0,78;5,1;3,9;3,38
Fazenda Nova;2014;5,47833333333333;;;;4,55;6,9;6,13;5,6;4,7;4,99
Fazenda Nova;2016;5,01777777777778;1,82;1,82;4,01;7,61;5,97;6,53;7,4;6;4
Fazenda Nova;2018;4,87333333333333;1,33;2,1;3,48;6,82;6,5;5,42;7,4;6;4,81
Firminópolis;2012;5,905;;;;7,56;8,32;4,88;5,6;3,7;5,37
Firminópolis;2014;3,53666666666667;;;;4,36;1,05;2,3;5,8;4,2;3,51
Firminópolis;2016;4,70666666666667;7;5,74;5,06;4,6;2,83;3,54;6,3;4,7;2,59
Firminópolis;2018;4,94;5,65;4,77;4,68;6,92;3,11;4,51;7,5;5,3;2,02
Flores de Goiás;2012;4,60166666666667;;;;4,29;7,09;6,35;3,2;3;3,68
Flores de Goiás;2014;3,285;;;;3;3,36;2,34;4,2;4;2,81
Flores de Goiás;2016;4,57;5;1,86;0,97;4,23;10;6,99;4,5;4;3,58
Flores de Goiás;2018;3,21111111111111;6,11;1,68;0;1,44;2,57;5,24;4,7;4;3,16
Formosa;2012;5,12;;;;4,22;7,04;6,47;4,7;3,9;4,39
Formosa;2014;5,01;;;;2,62;7,34;7,22;4,9;3,9;4,08
Formosa;2016;4,17666666666667;5,27;4,02;4,36;3,06;3,27;5,09;5,2;4,3;3,02
Formosa;2018;4,87444444444444;6,33;4,95;4,87;6,78;7,27;0,87;5,2;4,2;3,4
Formoso;2012;4,97;;;;5,29;7,24;5,33;4,6;4,1;3,26
Formoso;2014;5,614;;;;4,72;6,48;8,64;5,5;;2,73
Formoso;2016;5,31444444444444;2;2,33;1,86;10;9,29;8,56;6;5,2;2,59
Formoso;2018;4,79;2;2,15;2,33;10;9,77;1,61;7,4;5,7;2,15
Gameleira de Goiás;2012;6,09;;;;4,78;9,58;9;4,7;4,8;3,68
Gameleira de Goiás;2014;4,69166666666667;;;;1,5;6,04;8,02;5;4,6;2,99
Gameleira de Goiás;2016;5,46333333333333;9,09;4,31;0;5,06;10;6,79;5,2;5,3;3,42
Gameleira de Goiás;2018;5,34111111111111;9;5,34;0,46;6,86;8,21;5,4;5,1;5,2;2,5
Goianápolis;2012;5,14166666666667;;;;4,26;6,92;6,83;4,1;4;4,74
Goianápolis;2014;5,83666666666667;;;;6,06;9,58;4,53;5;4,4;5,45
Goianápolis;2016;5,86111111111111;4,17;4,62;3,41;8,05;10;7,36;5,7;5;4,44
Goianápolis;2018;5,88444444444444;4,75;5,75;2,35;10;10;5,95;5,9;5,5;2,76
Goiandira;2012;7,19;;;;7,78;8,77;9,6;6,1;4,4;6,49
Goiandira;2014;6,17666666666667;;;;6,04;7,01;6,61;6,7;4,3;6,4
Goiandira;2016;5,91111111111111;3,33;4,45;4,19;6,05;10;9,63;5,9;4,9;4,75
Goiandira;2018;5,54333333333333;7,14;3,56;2,91;8,37;5;4,96;6,5;5,3;6,15
Goianésia;2012;5,65;;;;6,32;8,28;4,44;5,5;4,1;5,26
Goianésia;2014;5,90333333333333;;;;5,66;8,44;7,04;5,8;4,5;3,98
Goianésia;2016;5,90777777777778;8,14;3,87;3,71;6,04;8,14;6,97;6,9;5,6;3,8
Goianésia;2018;5,96444444444444;6,16;3,89;3,87;8,14;8,62;6,01;7,1;5,8;4,09
Goiânia;2012;5,345;;;;5,29;6,83;6,89;5;3,8;4,26
Goiânia;2014;5,46333333333333;;;;4,17;6,56;8,65;5,3;3,9;4,2
Goiânia;2016;4,54555555555556;8,01;7,09;6,34;1,87;0;2,94;5,7;4,9;4,06
Goiânia;2018;5,86777777777778;7,68;6,98;6,39;6,07;6,65;3,55;5,9;5,3;4,29
Goianira;2012;5,37166666666667;;;;6,65;7,88;4,94;4,6;3,6;4,56
Goianira;2014;5,475;;;;4,85;9,21;5,8;5,2;3,8;3,99
Goianira;2016;6,20777777777778;8,24;6;5,19;5,44;10;8,17;5,2;4,3;3,33
Goianira;2018;6,78;8,72;6,63;4,76;10;10;7,39;5,7;5;2,82
Goiás;2012;6,06;;;;8,53;8,44;6,98;5,5;4;2,91
Goiás;2014;4,99333333333333;;;;5,68;6;5,46;5,6;4,4;2,82
Goiás;2016;4,95333333333333;1,64;2,02;5,51;4,51;10;8,2;6;4,8;1,9
Goiás;2018;5,06777777777778;2,33;2,38;5,18;7,5;7,57;6;6,5;5,7;2,45
Goiatuba;2012;5,63666666666667;;;;7,39;7,33;6,36;5;3,7;4,04
Goiatuba;2014;5,62666666666667;;;;5,11;7,78;5,94;5,6;4,4;4,93
Goiatuba;2016;5,64666666666667;4,32;5,83;4,78;7,47;6,59;7,13;6;4,7;4
Goiatuba;2018;5,99444444444444;4,07;5,18;4,73;9,52;8,35;6,87;5,9;5,1;4,23
Gouvelândia;2012;4,69666666666667;;;;8,23;8,93;3,66;0;4,1;3,26
Gouvelândia;2014;4,90166666666667;;;;7,36;4,11;4,52;4,9;4,2;4,32
Gouvelândia;2016;4,21666666666667;2,67;2,18;3,44;6,32;5,47;4,9;5,9;5,3;1,77
Gouvelândia;2018;4,69777777777778;4;3,51;3,15;5,39;5,05;7,72;5,9;4,6;2,96
Guapó;2012;4,75333333333333;;;;6,02;7,19;3,69;4,7;3,7;3,22
Guapó;2014;5,10833333333333;;;;5,67;7,48;4,99;5,1;4;3,41
Guapó;2016;5,49111111111111;1,82;5,55;3,25;9,84;10;5,32;5,7;4,9;3,04
Guapó;2018;5,56333333333333;1,37;5,18;3,16;10;9,9;5,63;6,2;5,4;3,23
Guaraíta;2012;5,965;;;;9,48;8,65;7,98;3,7;4,4;1,58
Guaraíta;2014;5,55333333333333;;;;4,38;8,66;8,83;5,3;4,1;2,05
Guaraíta;2016;5,91444444444444;5;1,93;2,29;9,06;9,92;10;5,4;5,8;3,83
Guaraíta;2018;5,02;4;1,7;4,08;10;9,87;1,63;5,5;5,9;2,5
Guarani de Goiás;2012;4,68666666666667;;;;4,32;7,53;5,54;4,4;3,7;2,63
Guarani de Goiás;2014;5,42666666666667;;;;4,23;8,22;7,09;4,5;4,2;4,32
Guarani de Goiás;2016;5,73111111111111;8;3,76;1,92;7,31;10;8,18;4,6;4,6;3,21
Guarani de Goiás;2018;5,37444444444444;6,67;3,06;1,45;8,98;10;3,6;5,4;4,4;4,81
Guarinos;2012;5,69;;;;6,07;8,51;6,73;6;4,2;2,63
Guarinos;2014;4,64166666666667;;;;2,31;5,48;7,08;5,9;3,9;3,18
Guarinos;2016;5,00888888888889;5;0,84;2,22;7,23;10;6,21;5,5;5,8;2,28
Guarinos;2018;5,64888888888889;4;1,62;1,04;9,67;10;10;5,9;6,4;2,21
Heitoraí;2012;5,00333333333333;;;;3,85;7,34;7,5;5,3;3,4;2,63
Heitoraí;2014;5,69166666666667;;;;6,07;10;6,93;5,8;3,3;2,05
Heitoraí;2016;5,19888888888889;2,31;1,66;2,37;8,45;10;7,47;5,9;4,8;3,83
Heitoraí;2018;5,16888888888889;1,67;1,41;3,88;9,3;10;6,36;6;5,4;2,5
Hidrolândia;2012;5,015;;;;4,96;7,46;5,98;4,2;3,1;4,39
Hidrolândia;2014;4,45333333333333;;;;5,62;5,53;3,87;4,8;3,2;3,7
Hidrolândia;2016;5,99444444444444;7,29;5,48;4,01;8,43;9,66;7,07;4,8;4;3,21
Hidrolândia;2018;6,24111111111111;7,21;5,9;4,44;10;7,98;8,11;5,1;4,5;2,93
Hidrolina;2012;5,235;;;;3,57;8,38;6,48;4,9;4,4;3,68
Hidrolina;2014;4,30333333333333;;;;2,95;5,51;4,98;5,4;3,8;3,18
Hidrolina;2016;5,19555555555556;3,33;3;4,93;4,03;10;6,63;5,7;4,9;4,24
Hidrolina;2018;6,21444444444445;8;4,31;5,34;6,76;8,35;7,43;6,6;5,1;4,04
Iaciara;2012;4,32;;;;4,79;7,6;4,2;3,4;3,3;2,63
Iaciara;2014;4,09166666666667;;;;2,27;6,36;4,52;4,7;4,1;2,6
Iaciara;2016;3,74777777777778;1,82;1,81;3,3;3,16;5,22;5,31;4,9;4,9;3,31
Iaciara;2018;4,21555555555556;5,19;2,63;3,61;3,57;4,53;5,01;4,9;5;3,5
Inaciolândia;2012;5,34333333333333;;;;6,69;8,63;3,75;4,1;3,8;5,09
Inaciolândia;2014;5,94833333333333;;;;6,53;9,7;7,08;4,9;4,3;3,18
Inaciolândia;2016;6,33666666666667;7,78;5,62;4,19;7,03;10;9,52;5,8;4,5;2,59
Inaciolândia;2018;6,32333333333333;8,85;5,89;2,9;9,73;8,88;6,37;6,1;5,4;2,79
Indiara;2012;5,45333333333333;;;;6,78;7,19;6,61;5;4,3;2,84
Indiara;2014;5,16666666666667;;;;3,76;7,76;7,2;4,9;4;3,38
Indiara;2016;5,73333333333333;7,22;4,71;4,85;6,14;10;6,26;5,2;4,7;2,52
Indiara;2018;4,99444444444444;7,44;3,61;4,87;6,3;4,78;3,94;6,1;4,7;3,21
Inhumas;2012;5,82333333333333;;;;7,21;8,57;5,06;5;4,2;4,9
Inhumas;2014;5,98666666666667;;;;6,28;7,89;7,73;5,7;4,8;3,52
Inhumas;2016;6,52888888888889;7,76;7,37;7,05;6,56;7,82;6,75;6,3;5,2;3,95
Inhumas;2018;6,97222222222222;9,08;7,31;5,7;10;8,87;6,97;6,3;5,5;3,02
Ipameri;2012;5,855;;;;6,57;7,79;8,52;5,4;3,9;2,95
Ipameri;2014;5,315;;;;6,93;7,53;5,2;5,6;4,4;2,23
Ipameri;2016;5,19222222222222;3,58;4,31;3,66;7,64;7,51;6,11;6,4;4,5;3,02
Ipameri;2018;5,45444444444444;5,39;4,28;3,1;9,52;8,59;3,48;6,3;5,2;3,23
Ipiranga de Goiás;2012;6,26666666666667;;;;10;8,42;6,8;5,1;4,3;2,98
Ipiranga de Goiás;2014;4,33;;;;4,34;4,26;4,25;5,2;4,6;3,33
Ipiranga de Goiás;2016;4,86888888888889;7,5;1,73;0,28;7,61;4,99;6,49;6,4;5,4;3,42
Ipiranga de Goiás;2018;5,97666666666667;8;5,14;2,34;9,11;4,6;8,53;7;5,8;3,27
Iporá;2012;6,375;;;;8,41;8,65;6,82;5,6;3,9;4,87
Iporá;2014;6,07166666666667;;;;5,65;7,92;9,88;5,6;4,4;2,98
Iporá;2016;5,54666666666667;5,98;3,64;5,61;5,76;5,46;8,82;6,8;5,2;2,65
Iporá;2018;5,94888888888889;6,04;4,19;5,58;8,11;10;4,84;6,9;5,7;2,18
Israelândia;2012;6,42666666666667;;;;7,56;9,49;7,42;4,5;3,8;5,79
Israelândia;2014;4,96;;;;2,18;6,59;6,1;4,6;3,7;6,59
Israelândia;2016;5,0475;3,33;5,42;5,43;3,59;6,64;5,17;;4,5;6,3
Israelândia;2018;6,10555555555556;5;6,11;5,01;10;8,17;4,2;5,8;4,7;5,96
Itaberaí;2012;5,225;;;;6;7,83;3,83;5,2;4,1;4,39
Itaberaí;2014;5,14333333333333;;;;3,64;7,48;6,19;5,9;4,7;2,95
Itaberaí;2016;5,27777777777778;4,2;3,59;4,95;4,36;10;5,7;6,5;5,1;3,1
Itaberaí;2018;6,26;6;4,03;4,58;8,6;8,86;9,3;6,9;5,2;2,87
Itaguari;2012;6,23666666666667;;;;7,29;8,6;4,94;5,8;4,3;6,49
Itaguari;2014;6,74166666666667;;;;5,7;10;10;6,2;4,8;3,75
Itaguari;2016;7,11555555555555;8,18;5,5;3,61;9,91;10;10;7;5,4;4,44
Itaguari;2018;6,12666666666667;8,89;5,59;2,51;10;9,97;1,95;6,6;5,4;4,23
Itaguaru;2012;6,31666666666667;;;;6,58;9,15;6,48;5,5;4,4;5,79
Itaguaru;2014;6,62666666666667;;;;4,23;8,96;9,98;5;5;6,59
Itaguaru;2016;5,98;10;2,36;4,55;5,69;7,38;8,87;6,5;4,8;3,67
Itaguaru;2018;6,16888888888889;10;0,97;4,76;10;10;4,69;6,6;6;2,5
Itajá;2012;5,93833333333333;;;;6,87;8,31;6,16;4,3;3,5;6,49
Itajá;2014;5,325;;;;6,14;7,46;3,22;5,4;4,5;5,23
Itajá;2016;5,94444444444444;5,24;4,75;2,21;10;10;5,49;6,3;4,6;4,91
Itajá;2018;5,67111111111111;4,58;4,99;1,92;9,2;7,57;7,12;5,9;5,1;4,66
Itapaci;2012;5,88166666666667;;;;6,56;7,78;6,36;5,7;3,8;5,09
Itapaci;2014;4,64666666666667;;;;3,72;5,47;5,93;5,6;4,1;3,06
Itapaci;2016;3,75;2,73;2,11;4,27;5,25;3,17;3,07;5;4,5;3,65
Itapaci;2018;5,28777777777778;6,13;3,22;2,67;7,81;6,86;6,21;6;5,2;3,49
Itapirapuã;2012;5,06833333333333;;;;5,86;8,34;4,8;4,1;3,2;4,11
Itapirapuã;2014;5,185;;;;3,56;8,07;7,17;4,9;4;3,41
Itapirapuã;2016;4,85222222222222;0,77;2,55;3,41;6,32;10;7,72;5;5;2,9
Itapirapuã;2018;5,12222222222222;2,67;3,69;3,73;10;10;3,77;5;5,1;2,14
Itapuranga;2012;5,84333333333333;;;;6,37;9,35;6,56;5;4,1;3,68
Itapuranga;2014;5,565;;;;5,43;6,92;6,57;5,6;4,7;4,17
Itapuranga;2016;5,04222222222222;2,22;3,04;5,11;4,65;8,41;7,1;5,7;5,1;4,05
Itapuranga;2018;5,71555555555556;4,67;3,52;4,53;8,52;9,94;5,47;6;5,3;3,49
Itarumã;2012;3,60166666666667;;;;2,08;5,87;1,27;4,5;2,8;5,09
Itarumã;2014;4,74;;;;4,29;5,93;3,97;5,5;4,2;4,55
Itarumã;2016;4,95;3,89;4,17;3,13;6,43;6,44;3,61;6,5;4,7;5,68
Itarumã;2018;5,19777777777778;5;3,44;2,02;4,43;5,11;9,12;6,6;5,1;5,96
Itauçu;2012;5,55333333333333;;;;8,58;6,24;5,82;5,3;3,7;3,68
Itauçu;2014;4,495;;;;4,48;5,23;2,69;6,9;4,6;3,07
Itauçu;2016;5,48;7,5;5,65;5,97;7,74;4,02;3,52;6,5;5;3,42
Itauçu;2018;6,53333333333333;8,7;6,61;5,76;7,87;6,85;6,79;7,6;5,2;3,42
Itumbiara;2012;5,93333333333333;;;;8,12;8,14;5,59;4,9;3,8;5,05
Itumbiara;2014;5,98833333333334;;;;6,41;7,78;7,23;5,5;4,4;4,61
Itumbiara;2016;5,01333333333333;3,34;4,73;4,75;6,85;6,51;3,27;6,4;5,2;4,07
