Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Itumbiara;2018;5,83111111111111;3,71;5,29;4,28;10;8,99;2,8;7;5,8;4,61
Ivolândia;2012;5,60833333333333;;;;5,11;7,43;6,93;6,1;4,4;3,68
Ivolândia;2014;4,54;;;;4,51;5,42;2,82;6,2;;3,75
Ivolândia;2016;5,47888888888889;10;2,55;2,62;6,4;5,5;6,11;6,4;5,9;3,83
Ivolândia;2018;5,77;10;3,01;2,42;9,3;6,38;4,21;6,3;5,5;4,81
Jandaia;2012;6,39833333333333;;;;6,76;9,64;8,26;4,9;4,3;4,53
Jandaia;2014;5,82333333333333;;;;7,59;9,7;5,85;4,8;4,2;2,8
Jandaia;2016;5,66555555555556;4,62;4,79;2,48;7,97;10;7,04;6,2;4,8;3,09
Jandaia;2018;5,53666666666667;5;4,86;1,24;7,92;10;6,99;6,6;5,3;1,92
Jaraguá;2012;4,81166666666667;;;;4,82;6,86;3,89;5,1;3,9;4,3
Jaraguá;2014;5,12166666666667;;;;4,04;7,16;5,15;5,5;4,1;4,78
Jaraguá;2016;5,18888888888889;6,73;3,57;3,62;4,92;8,32;4,19;6,3;5,1;3,95
Jaraguá;2018;5,19333333333333;6,52;4,05;3,04;6,18;6,2;4,77;6,6;5,5;3,88
Jataí;2012;5,645;;;;6,59;7,81;5,2;5,2;3,9;5,17
Jataí;2014;5,63833333333333;;;;4,89;7,55;7,43;5,2;4,4;4,36
Jataí;2016;5,12888888888889;8,06;4,33;4,75;4,29;5,26;4,42;5,8;5;4,25
Jataí;2018;5,92555555555556;8,56;5,59;4,56;7,79;8,1;4,26;5,8;5,5;3,17
Jaupaci;2012;6,54;;;;6,2;10;9,15;4,9;3,9;5,09
Jaupaci;2014;5,975;;;;7,92;7,77;9,38;5,3;4;1,48
Jaupaci;2016;6,11444444444445;5,71;3,56;3,92;10;9,67;8,91;6,1;5,8;1,36
Jaupaci;2018;6,15666666666667;7,14;4,2;4,44;10;10;3,35;6;5,9;4,38
Jesúpolis;2012;4,33833333333333;;;;3,46;3,57;7,02;5;3,3;3,68
Jesúpolis;2014;6,355;;;;2,68;10;10;6;4;5,45
Jesúpolis;2016;6,67444444444444;7,5;6,66;5,85;5,37;10;10;6,8;5,3;2,59
Jesúpolis;2018;6,54444444444444;10;5,36;4,26;8,91;10;5,75;6,5;6,2;1,92
Joviânia;2012;6,08333333333333;;;;7,87;7,22;7,27;4,7;4;5,44
Joviânia;2014;5,68;;;;5,52;6,6;5,97;5,5;;4,81
Joviânia;2016;5,60666666666667;5,56;5,22;3,83;8,29;7,16;5,3;6,2;5,6;3,3
Joviânia;2018;5,74333333333333;5,65;4,42;2,74;7,53;7,6;7,45;6,2;5,7;4,4
Jussara;2012;5,63666666666667;;;;5,6;7,95;7,95;4,8;3,7;3,82
Jussara;2014;5,6;;;;4,83;7,92;7,54;5,4;4,9;3,01
Jussara;2016;5,92777777777778;6,15;4,54;5,1;4,87;10;7,9;6,1;5,6;3,09
Jussara;2018;6,06777777777778;6,79;4,14;3,74;7,79;10;7,12;6,5;5,6;2,93
Lagoa Santa;2012;5,56;;;;9,58;8,71;4,38;4,9;0;5,79
Lagoa Santa;2014;6,42833333333333;;;;6,82;6,55;10;5,5;5;4,7
Lagoa Santa;2016;6,03875;1,43;5,64;4,38;10;10;7,84;;5,6;3,42
Lagoa Santa;2018;5,95888888888889;1,67;4,88;4,65;10;10;4,81;7,3;5,7;4,62
Leopoldo de Bulhões;2012;5,63;;;;6,11;7,68;7,25;4,5;3,5;4,74
Leopoldo de Bulhões;2014;4,76166666666667;;;;4,28;4,83;5,57;5,7;4,1;4,09
Leopoldo de Bulhões;2016;4,21666666666667;2,67;2,07;3,12;6,02;4,73;5,07;5,2;5;4,07
Leopoldo de Bulhões;2018;5,29444444444444;2,96;2,83;2,55;9,39;9,1;7,92;5,2;5,2;2,5
Luziânia;2012;4,72333333333333;;;;4,15;7,41;5,77;4,1;3,4;3,51
Luziânia;2014;4,86;;;;3,59;7,32;6,45;5;3,6;3,2
Luziânia;2016;5,07222222222222;9,25;5,51;3,1;3,22;5,66;5,96;5,5;4,7;2,75
Luziânia;2018;5,54111111111111;9,2;5,2;3,21;5,05;8,15;5,64;5,7;5,2;2,52
Mairipotaba;2012;6,63833333333333;;;;8,31;9,43;8,1;4,5;3,7;5,79
Mairipotaba;2014;6,62166666666667;;;;5,78;8,6;8,76;5;5;6,59
Mairipotaba;2016;7,18444444444444;8,75;5,1;5,33;9,58;10;8,8;5,8;5;6,3
Mairipotaba;2018;6,78444444444444;5,71;6,11;5,44;10;10;4,63;6;4,9;8,27
Mambaí;2012;5,14166666666667;;;;6,38;6,89;6,5;3,8;3,6;3,68
Mambaí;2014;5,25666666666667;;;;6,14;7,05;5,19;4,6;3,9;4,66
Mambaí;2016;5,52444444444444;8,24;2,75;3,04;5,55;10;6,1;4,6;5;4,44
Mambaí;2018;5,32333333333333;7,65;2,97;5,16;7,16;6,66;5,23;5,1;4,9;3,08
Mara Rosa;2012;5,95166666666667;;;;5,69;8,51;8,22;5,3;3,4;4,59
Mara Rosa;2014;5,46666666666667;;;;6,28;6,71;6,64;5,6;4,1;3,47
Mara Rosa;2016;6,01111111111111;5,45;4,02;4,35;6,97;10;7,57;6;5,5;4,24
Mara Rosa;2018;5,83555555555556;7,5;4,17;5,87;4,63;8,05;6,01;5,8;5,6;4,89
Marzagão;2012;6,19666666666667;;;;8,21;8,86;6,32;5;3,7;5,09
Marzagão;2014;6,73166666666667;;;;7,48;10;8,56;5,1;3,8;5,45
Marzagão;2016;6,53222222222222;8;4,18;5;7,57;9,43;9,15;5,8;4,6;5,06
Marzagão;2018;5,50222222222222;6;2,23;2,79;10;10;3,78;6,5;6,1;2,12
Matrinchã;2012;5,72666666666667;;;;6,41;8,14;8,1;4;3,5;4,21
Matrinchã;2014;6,07166666666667;;;;5,15;8,36;9,1;3,5;4,3;6,02
Matrinchã;2016;4,60666666666667;1,11;2,02;3,1;5,87;7,59;6,19;4,9;5;5,68
Matrinchã;2018;5,24333333333333;5;2,76;2,98;7,74;6,93;7,97;5,2;5,1;3,51
Maurilândia;2012;4,775;;;;7,33;7,81;0;4;3,3;6,21
Maurilândia;2014;5,24166666666667;;;;6,31;5,98;6,62;4,7;3,9;3,94
Maurilândia;2016;4,88;3,16;4,87;3,37;6,21;9,07;4,12;5,5;4,2;3,42
Maurilândia;2018;4,83222222222222;4,55;4,3;4,44;5,73;3,06;6,36;6,3;5,1;3,65
Mimoso de Goiás;2012;5,90166666666667;;;;5,41;9,66;9,86;4,2;3,3;2,98
Mimoso de Goiás;2014;3,865;;;;3,16;7,77;3,06;4,3;2,8;2,1
Mimoso de Goiás;2016;5,35222222222222;6,67;3,16;3,33;6,77;9,2;5,8;4,7;4,3;4,24
Mimoso de Goiás;2018;5,58777777777778;6,67;5,03;3,25;8,96;9,98;4,97;4,8;3,7;2,93
Minaçu;2012;5,93333333333333;;;;6,43;8,79;8,09;4,6;3,3;4,39
Minaçu;2014;5,52666666666667;;;;5,77;6,36;7,79;5,3;4,1;3,84
Minaçu;2016;5,91222222222222;5,69;4,38;3,55;5,48;10;10;6;4,9;3,21
Minaçu;2018;5,07111111111111;5,59;4,6;2,34;8,49;9,19;1,08;6,2;5;3,15
Mineiros;2012;5,125;;;;4,69;7,61;4,66;4,7;3,6;5,49
Mineiros;2014;5,37666666666667;;;;5,05;8,3;6,24;5,5;3,9;3,27
Mineiros;2016;5,90222222222222;7,01;5,01;4,85;5,61;9,78;5,57;6,2;5;4,09
Mineiros;2018;6,92333333333333;8,51;5,81;4,48;9,86;9,82;7,28;6,5;5,7;4,35
Moiporá;2012;5,26166666666667;;;;3,08;9,65;10;4,1;0;4,74
Moiporá;2014;3,7925;;;;3,95;2,57;3,76;;;4,89
Moiporá;2016;6,40857142857143;8;3,6;3,43;3,53;10;10;;;6,3
Moiporá;2018;5,63375;8;3,3;1,88;6,18;5,43;9,17;;6,3;4,81
Monte Alegre de Goiás;2012;4,26;;;;3,94;6,26;3,55;4,2;3,5;4,11
Monte Alegre de Goiás;2014;3,86166666666667;;;;2,73;5,51;3,33;4,9;3,4;3,3
Monte Alegre de Goiás;2016;4,72222222222222;7;1,47;3,01;2,86;10;6,16;4,4;4,6;3
Monte Alegre de Goiás;2018;3,72222222222222;6,43;1,52;2,34;1,85;3,77;5,81;4,6;4,3;2,88
Montes Claros de Goiás;2012;4,645;;;;2,04;9,62;4,88;4,3;4,4;2,63
Montes Claros de Goiás;2014;4,356;;;;4,74;6,59;4,58;;4,4;1,47
Montes Claros de Goiás;2016;6,18875;7,92;2,32;3,6;10;10;7,13;6,1;;2,44
Montes Claros de Goiás;2018;5,11555555555556;7,5;2,61;3,21;7,42;9,48;3,26;6;5,5;1,06
Montividiu;2012;6,29166666666667;;;;7,52;8,64;5,66;4,9;4,4;6,63
Montividiu;2014;6,20333333333333;;;;5,64;9,19;7,14;5,8;4,5;4,95
Montividiu;2016;6,08111111111111;7,42;5,46;2,5;6,39;10;8,62;5,8;4,4;4,14
Montividiu;2018;5,97666666666667;8,93;7,3;1,99;8,47;8,03;4,47;6,1;4,6;3,9
Montividiu do Norte;2012;4,38;;;;2,86;7,19;6,51;4,2;3,1;2,42
Montividiu do Norte;2014;4,565;;;;2,1;5,97;7,02;5;4;3,3
Montividiu do Norte;2016;4,35666666666667;6,67;1,94;2,7;3,44;5,75;6,02;5;4,6;3,09
Montividiu do Norte;2018;3,85777777777778;6,67;2,26;2,77;0,04;5,57;4,63;5,4;5;2,38
Morrinhos;2012;5,39666666666667;;;;5,65;8,17;5,96;4,7;3,1;4,8
Morrinhos;2014;5,23;;;;3,99;6,91;6,99;5,2;3,5;4,79
Morrinhos;2016;4,19;3;3,36;4,78;2,76;3,88;6,33;5,5;4,3;3,8
Morrinhos;2018;5,23666666666667;2;3,73;5,31;6;8,61;5,98;6,6;5,1;3,8
Morro Agudo de Goiás;2012;5,29;;;;3,08;9,65;6,12;4,8;3,7;4,39
Morro Agudo de Goiás;2014;5,95166666666667;;;;7,05;8,46;6,9;4,4;4,2;4,7
Morro Agudo de Goiás;2016;5,29111111111111;1,67;1,44;2,1;10;10;8,7;5,8;4,7;3,21
Morro Agudo de Goiás;2018;4,73111111111111;1,67;1,62;1,97;10;10;3,62;6;5,2;2,5
Mossâmedes;2012;5,92333333333333;;;;6,88;9,33;7,93;5;4,4;2
Mossâmedes;2014;5,53833333333333;;;;6,46;7,11;6,01;5,7;5,3;2,65
Mossâmedes;2016;6,47625;7,14;3,49;3,19;10;10;10;;5,4;2,59
Mossâmedes;2018;6,05888888888889;2,94;4,72;4,08;10;10;7,09;7,1;6,1;2,5
Mozarlândia;2012;4,71666666666667;;;;5,24;7,79;4,39;4,5;3,6;2,78
Mozarlândia;2014;5,14666666666667;;;;3,77;8,25;7,5;4,8;3,7;2,86
Mozarlândia;2016;4,33888888888889;3,89;2,84;3,53;4,56;6,28;6,38;5,2;4,6;1,77
Mozarlândia;2018;5,46444444444444;4;3,47;3,63;8,64;7,06;9,87;5,6;4,9;2,01
Mundo Novo;2012;4,575;;;;4,15;8;5,64;4,5;4;1,16
Mundo Novo;2014;4,60166666666667;;;;3,6;5,12;9,61;4,9;3,6;0,78
Mundo Novo;2016;4,65444444444444;5,45;3,3;2,02;6,67;10;4,35;5,4;4,7;0
Mundo Novo;2018;5,58111111111111;8;5,18;2,25;8,37;9,63;4,94;5,8;4,6;1,46
Mutunópolis;2012;5,08166666666667;;;;4,52;8,96;4,33;5,4;3,6;3,68
Mutunópolis;2014;6,19;;;;5,5;10;9,41;5;4,2;3,03
Mutunópolis;2016;5,69111111111111;4;4,17;3,58;9,04;10;8,67;5,3;4,9;1,56
Mutunópolis;2018;5,54333333333333;6;3,6;2,49;9,69;10;4,97;6,1;5,5;1,54
Nazário;2012;6,10666666666667;;;;8,28;8,97;6,08;4,9;4,2;4,21
Nazário;2014;5,82;;;;7,1;8,38;8,22;5,1;3,7;2,42
Nazário;2016;4,98111111111111;5,56;3,96;2,1;9,3;7,57;4,36;5,7;4,3;1,98
Nazário;2018;5,45888888888889;8,82;4,93;2,5;8,33;6,09;5,27;6,1;4,3;2,79
Nerópolis;2012;5,83166666666667;;;;6,56;8,1;7,75;5;3,9;3,68
Nerópolis;2014;5,58833333333333;;;;5,53;8,44;7,11;5,2;4,4;2,85
Nerópolis;2016;5,75111111111111;8,48;5,52;4,53;4,92;8,17;7,44;5,5;4,8;2,4
Nerópolis;2018;6,43777777777778;9,35;6,3;5,39;8,8;8,43;6,94;5,8;5,1;1,83
Niquelândia;2012;5,44333333333333;;;;4,4;8,06;6,61;4,5;3,6;5,49
Niquelândia;2014;5,05333333333333;;;;4,03;6,86;6,31;5,1;3,9;4,12
Niquelândia;2016;4,96111111111111;7,36;3,06;3,2;4,25;8,35;5,13;5,5;4,9;2,9
Niquelândia;2018;4,28;7,57;3,29;2,19;3,63;3,9;3,29;5,8;5,2;3,65
Nova América;2012;6,15;;;;8,98;9,44;5,7;5,1;4;3,68
Nova América;2014;6,69166666666667;;;;9,31;8,4;7,52;6;5,4;3,52
Nova América;2016;5,65222222222222;0,91;3,51;3,13;10;10;8,91;5,9;5,3;3,21
Nova América;2018;5,31333333333333;1,76;3,62;2,68;10;10;5,46;5,8;6;2,5
Nova Aurora;2012;5,76;;;;10;10;6,08;5,5;0;2,98
Nova Aurora;2014;5,105;;;;6,78;6,28;4,59;5,1;4,7;3,18
Nova Aurora;2016;5,96333333333333;9;7,31;1,14;9,32;7,36;6,85;5,9;4,2;2,59
Nova Aurora;2018;5,02555555555556;3,75;6,53;2,79;5,58;6,8;6,15;6,8;5,1;1,73
Nova Crixás;2012;4,25166666666667;;;;5,17;7,18;3,07;3,6;3,6;2,89
Nova Crixás;2014;3,78666666666667;;;;3,16;4,68;4,65;4,5;3,4;2,33
Nova Crixás;2016;4,49222222222222;7,22;5,06;1,72;3,52;5,53;5,11;4,7;4,5;3,07
Nova Crixás;2018;4,88;8,26;4,54;1,43;6,23;6,51;5,01;5,1;4,4;2,44
Nova Glória;2012;5,98666666666667;;;;6,59;9,31;6,89;4,3;4,3;4,53
Nova Glória;2014;5,025;;;;5,28;6,01;4,82;6;4,1;3,94
Nova Glória;2016;5,61777777777778;6,25;3,26;2,64;8,51;7,4;6,26;6,9;5,1;4,24
Nova Glória;2018;5,27666666666667;6,5;2,67;1,71;9,67;9,02;2,4;6,2;4,9;4,42
Nova Iguaçu de Goiás;2012;5,02166666666667;;;;7,01;6,85;3,19;5,1;4,3;3,68
Nova Iguaçu de Goiás;2014;6,16;;;;8,08;7,25;7,49;5,9;4,3;3,94
Nova Iguaçu de Goiás;2016;6,39333333333333;5;5,45;3,11;9,62;8,59;8,59;6,6;4,9;5,68
Nova Iguaçu de Goiás;2018;6,16777777777778;8,89;6,23;3,42;8,64;10;2,69;6,3;5,3;4,04
Nova Roma;2012;4,42166666666667;;;;5,81;8,17;3,37;4,2;3,4;1,58
Nova Roma;2014;4,835;;;;4,68;5,7;6,65;5,4;3,9;2,68
Nova Roma;2016;4,34555555555556;5;1,67;3,39;4,78;7,58;5,52;4,6;4,8;1,77
Nova Roma;2018;3,71333333333333;5;2,37;3,27;1,11;7,39;4,29;5,2;4,6;0,19
Nova Veneza;2012;5,84333333333333;;;;7,52;8,27;5,86;5,1;4,1;4,21
Nova Veneza;2014;4,81833333333333;;;;4,98;5,7;4,38;5,4;4,7;3,75
Nova Veneza;2016;5,27;8;6,21;3,73;6,8;3,9;4,1;5,3;5,1;4,29
Nova Veneza;2018;5,69777777777778;7,27;5,98;3,27;6,4;6;6,97;5,8;5,5;4,09
Novo Brasil;2012;4,81;;;;2,89;8,81;5,13;5,6;3,8;2,63
Novo Brasil;2014;5,645;;;;6,26;9,47;7,39;4,4;4,3;2,05
Novo Brasil;2016;6,17888888888889;5;3,33;4,74;10;10;8,67;5,6;4,6;3,67
Novo Brasil;2018;5,89222222222222;1,25;4,56;3,8;10;10;8,47;6,2;5,1;3,65
Novo Gama;2012;4,435;;;;4,1;6,24;5,71;4,6;2,7;3,26
Novo Gama;2014;2,15666666666667;;;;0,67;0,95;0,06;4,8;3,1;3,36
Novo Gama;2016;3,78666666666667;7,89;5,57;3,85;2,25;2,09;1,39;4,6;3,8;2,64
Novo Gama;2018;4,23333333333333;8,56;5,48;4,31;4,25;1,93;1,99;5;4,4;2,18
Novo Planalto;2012;3,47666666666667;;;;3,39;2,6;0,23;3,7;4,1;6,84
Novo Planalto;2014;5,09333333333333;;;;3,34;6,56;5,85;4,3;4,3;6,21
Novo Planalto;2016;5,70111111111111;8,33;4,95;3,3;3,81;10;5,94;4,7;4,6;5,68
Novo Planalto;2018;5,80888888888889;3,64;3,88;4,04;9,14;10;6,4;4,9;4,9;5,38
Orizona;2012;6,30666666666667;;;;5,94;9,31;7,8;5,1;4,6;5,09
Orizona;2014;5,01;;;;3,7;6,09;5,31;5,8;4,8;4,36
Orizona;2016;4,97;5,15;3,79;2,76;5,07;7,94;4,35;6,1;5,3;4,27
Orizona;2018;5,26111111111111;5,88;4,5;1,94;9,16;9,61;0,65;6,6;5,6;3,41
Ouro Verde de Goiás;2012;6,58;;;;6,86;8,98;7,7;5,3;3,8;6,84
Ouro Verde de Goiás;2014;6,23166666666667;;;;5,64;7,68;6,98;5,8;4,7;6,59
Ouro Verde de Goiás;2016;6,91555555555556;10;6,96;4,91;10;10;6,65;5,5;4,8;3,42
Ouro Verde de Goiás;2018;6,34666666666667;9;6;3,9;10;10;3,35;6,2;5,4;3,27
Ouvidor;2012;6,07833333333333;;;;7,42;8,92;5,34;5,7;3,3;5,79
Ouvidor;2014;5,66833333333333;;;;7,14;6,35;3,29;5;4,5;7,73
Ouvidor;2016;6,59666666666667;8,24;8,09;5,41;7,56;6,68;5,68;6,5;4,5;6,71
Ouvidor;2018;7,00222222222222;9,47;6,68;6,32;9,14;8,05;5,78;6,9;5,3;5,38
Padre Bernardo;2012;4,205;;;;4,58;6,61;4,51;3,7;3,2;2,63
Padre Bernardo;2014;4,17333333333333;;;;4,23;5,05;5,17;4,2;3,3;3,09
Padre Bernardo;2016;5,11444444444444;4,84;3,16;4,09;4,63;9,54;6,5;4,5;4,2;4,57
Padre Bernardo;2018;5,53111111111111;7,25;4,46;3,78;6,96;5,78;7,03;5;4,6;4,92
Palestina de Goiás;2012;5,84;;;;6,81;8,77;6,58;5;4,2;3,68
Palestina de Goiás;2014;5,37333333333333;;;;6,33;10;4,89;4,8;3,8;2,42
Palestina de Goiás;2016;5,64222222222222;3,33;2,47;4,3;7,99;10;8,77;5,5;5;3,42
Palestina de Goiás;2018;5,31111111111111;8;3,77;3,21;5,54;10;2,24;6;5;4,04
Palmeiras de Goiás;2012;5,08;;;;7,21;7,18;2;4,8;3,8;5,49
Palmeiras de Goiás;2014;5,12333333333333;;;;4,99;6,86;5,72;5,6;4;3,57
Palmeiras de Goiás;2016;5,08;5,71;4,69;3,27;5,4;4,51;6,84;5,5;4,8;5
Palmeiras de Goiás;2018;5,42222222222222;5,48;5,02;3,4;6,51;8,58;3,8;6,2;5;4,81
Palmelo;2012;5,5;;;;8,44;8,2;3,68;4,8;4,2;3,68
Palmelo;2014;3,178;;;;5,18;2,49;0;5,8;;2,42
Palmelo;2016;3,85375;2,86;5,94;3,78;4,98;4,87;2,43;;4,2;1,77
Palmelo;2018;4,35222222222222;2;4,68;2,92;8,19;3,99;4,46;6,1;5,1;1,73
Palminópolis;2012;6,54666666666667;;;;8,65;9,6;7,55;5,3;4,5;3,68
Palminópolis;2014;7,175;;;;10;10;8,5;6,2;4,6;3,75
Palminópolis;2016;6,00555555555555;2,5;3,51;3,33;10;10;10;6,2;5,3;3,21
Palminópolis;2018;6,44;8,18;5,95;0,83;10;10;6,87;7;4,9;4,23
Panamá;2012;5,07833333333333;;;;6,25;8,92;2,72;4,9;4;3,68
Panamá;2014;5,87833333333334;;;;6,38;8,36;9,35;5,1;2,9;3,18
Panamá;2016;4,86777777777778;0;2,7;3,86;7,43;10;6,33;5,9;5;2,59
Panamá;2018;4,77888888888889;3,33;3,75;3,16;6,28;10;0,98;5,8;4,9;4,81
Paranaiguara;2012;5,92833333333333;;;;5,33;9,1;5,51;5,1;3,9;6,63
Paranaiguara;2014;5,15166666666667;;;;4,27;7,16;4,63;5,2;4,2;5,45
Paranaiguara;2016;6,85666666666667;8;5,57;4,32;7,61;10;8,07;6,2;5,4;6,54
Paranaiguara;2018;6,88444444444444;10;6,71;5,68;6,62;5,55;8,39;7;5,7;6,31
Paraúna;2012;4,97333333333333;;;;6,9;8,96;2,1;4,8;3,4;3,68
Paraúna;2014;4,79;;;;4,35;6,7;5,99;5,2;4,4;2,1
Paraúna;2016;4,62555555555556;4,83;2,42;2,78;6,69;5,53;5,79;6,1;4,9;2,59
Paraúna;2018;5,36555555555555;4,5;4,16;2,47;8,05;8,39;5,49;6,1;4,9;4,23
Perolândia;2012;5,80666666666667;;;;5,88;9,37;4,6;4,3;4,2;6,49
Perolândia;2014;6,51333333333333;;;;6,86;10;10;4,5;3,4;4,32
Perolândia;2016;5,53222222222222;3;2,26;3,52;10;10;6,8;5,8;5,2;3,21
Perolândia;2018;5,90444444444444;4,57;6,01;3,2;10;10;2,91;6,6;6,2;3,65
Petrolina de Goiás;2012;5,71166666666667;;;;5,6;8,51;5,67;5,2;3,5;5,79
Petrolina de Goiás;2014;4,62833333333333;;;;3,27;4,45;5,68;5,8;4,2;4,37
Petrolina de Goiás;2016;5,34444444444444;9,29;5,64;3,31;4,03;9,71;1;6,3;4,2;4,62
Petrolina de Goiás;2018;5,47111111111111;10;6,28;3,95;5,05;5,48;4,14;6;4,4;3,94
Pilar de Goiás;2012;4,90166666666667;;;;4,49;8,41;5,88;4,7;3,3;2,63
Pilar de Goiás;2014;4,04833333333333;;;;2,38;6,55;4,31;5,2;3,8;2,05
Pilar de Goiás;2016;4,47111111111111;0;1,96;3,68;6,14;7,91;8,13;4,8;4,1;3,52
Pilar de Goiás;2018;4,83777777777778;2;1,81;1,74;10;10;4,22;5,5;4,9;3,37
Piracanjuba;2012;5,365;;;;7,28;8,07;4,84;4,8;3,8;3,4
Piracanjuba;2014;4,96833333333333;;;;4,78;6,87;5,53;5,5;4,2;2,93
Piracanjuba;2016;4,80555555555556;5;3,19;5,46;6,36;5,21;4,64;6,3;4,5;2,59
Piracanjuba;2018;5,69111111111111;6,44;4,99;4,9;8,05;7,51;4,69;6,2;5;3,44
Piranhas;2012;5,33166666666667;;;;4,42;8,29;4,49;5;4;5,79
Piranhas;2014;5,75166666666667;;;;5,4;7,33;5,59;5,1;4,5;6,59
Piranhas;2016;5,81;8,57;5,17;4,09;5,19;5,7;7,61;5,6;4,8;5,56
Piranhas;2018;6,38111111111111;8,89;5,03;3,54;8,89;9,5;4,87;6,2;5;5,51
Pirenópolis;2012;5,13666666666667;;;;4,64;8,06;4,88;4,5;4;4,74
Pirenópolis;2014;4,73666666666667;;;;2,84;7,11;5,89;4,9;4,2;3,48
Pirenópolis;2016;5,17222222222222;4,59;3,39;3,1;5,1;10;5,73;5,3;4,9;4,44
Pirenópolis;2018;4,84555555555556;3,52;3,88;2,89;7,38;7,85;4,08;5,6;4,9;3,51
Pires do Rio;2012;5,72;;;;6,82;8,02;7,37;4,4;3,5;4,21
Pires do Rio;2014;5,83666666666667;;;;5,85;8,24;7,47;5,3;4;4,16
Pires do Rio;2016;3,39333333333333;3,33;3,57;4,55;3,16;0,62;1,01;5,8;4,5;4
Pires do Rio;2018;5,39777777777778;3,33;3,37;4,27;8,72;8,42;5,38;5,8;5,1;4,19
Planaltina;2012;4,60333333333333;;;;4,36;6,89;6,1;3,7;3,4;3,17
