Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Planaltina;2014;5,02;;;;3,78;8,64;6,27;4,2;3,4;3,83
Planaltina;2016;5,91666666666667;5,83;5,23;4,86;4,68;10;10;5;4;3,65
Planaltina;2018;5,91666666666667;6,14;5,38;4,85;9,92;10;3,99;5,2;4,2;3,57
Pontalina;2012;4,69;;;;6,11;3,36;3,94;5;4,2;5,53
Pontalina;2014;4,96833333333333;;;;4,64;4,98;4,86;5,3;4,2;5,83
Pontalina;2016;5,22555555555556;7;5,33;6,06;3,57;4,54;4,54;5,9;5,3;4,79
Pontalina;2018;5,91444444444444;5,56;5,62;5,49;9,7;7,7;3,71;6;5,6;3,85
Porangatu;2012;4,59166666666667;;;;3,14;8,28;4,38;4,1;3,6;4,05
Porangatu;2014;4,82833333333333;;;;2,97;6,52;6,73;4,9;3,7;4,15
Porangatu;2016;3,93666666666667;3,59;3,2;4,6;3,53;2,76;4;5,1;4,9;3,75
Porangatu;2018;5,08333333333333;3,84;3;3,77;6,47;7,18;7,21;5,5;5,1;3,68
Porteirão;2012;4,24333333333333;;;;7,44;4,86;0,77;3,6;3;5,79
Porteirão;2014;4,415;;;;5,74;7,84;2,29;4,7;3,5;2,42
Porteirão;2016;5,77222222222222;7,5;5,18;2,67;9,31;8,4;5,97;5,7;3,8;3,42
Porteirão;2018;5,98666666666667;10;4,54;0,5;10;10;4,77;6,1;4,7;3,27
Portelândia;2012;4,03666666666667;;;;4,08;7,98;2,68;3,5;3;2,98
Portelândia;2014;6,28333333333333;;;;5,74;8,8;9,82;4,7;4,7;3,94
Portelândia;2016;5,84222222222222;3,33;5,89;4,86;7,38;10;8,33;5,4;4,8;2,59
Portelândia;2018;5,67555555555556;6,67;4,95;3,52;10;10;5,44;5,1;5,4;0
Posse;2012;4,78666666666667;;;;3,4;6,22;5,61;4,7;3,9;4,89
Posse;2014;5,46833333333333;;;;2,9;7,37;7,47;5,7;4,3;5,07
Posse;2016;5,80888888888889;7,69;2,71;4,13;2,81;10;9,14;5,9;5;4,9
Posse;2018;4,84555555555556;3,67;1,98;3,46;6,01;8,36;3,18;6,5;5,6;4,85
Professor Jamil;2012;5,925;;;;6,89;8,79;6,66;5,1;3,9;4,21
Professor Jamil;2014;6,31;;;;8,94;4,94;9,59;5,4;4,1;4,89
Professor Jamil;2016;5,74777777777778;2,86;3,66;4,27;7,99;9,95;8,99;5,7;5,1;3,21
Professor Jamil;2018;5,71666666666667;2,86;3,65;3,75;8,02;10;7,29;6,6;6,2;3,08
Quirinópolis;2012;5,685;;;;4,4;7,56;6,71;5,1;4,3;6,04
Quirinópolis;2014;5,52333333333333;;;;4,67;6,96;5,29;6;4,6;5,62
Quirinópolis;2016;5,38666666666667;6,46;4,72;4,42;5,17;6,24;4,44;6,4;5,2;5,43
Quirinópolis;2018;6,08111111111111;5,53;4,98;4,88;8,2;7,03;6,35;6,7;5,7;5,36
Rialma;2012;6,91;;;;7,66;9,76;8,75;5,4;4,1;5,79
Rialma;2014;3,705;;;;5,14;0,39;2,48;5,9;4;4,32
Rialma;2016;5,13888888888889;4,83;4,43;3,58;10;7,74;1,52;6,4;4,8;2,95
Rialma;2018;4,97111111111111;5,78;5,75;2,95;7,19;1,86;6,91;6,4;5,4;2,5
Rianápolis;2012;5,58666666666667;;;;7,09;8,78;4,64;4,6;4,2;4,21
Rianápolis;2014;5,76833333333333;;;;6,34;6,83;8,49;5,2;4;3,75
Rianápolis;2016;6,11111111111111;5,71;4,65;4,22;8,37;10;7,53;6,2;4,8;3,52
Rianápolis;2018;5,33222222222222;6,25;4,08;3,12;5,56;6,51;5,74;6,8;5,7;4,23
Rio Quente;2012;6,54666666666667;;;;6,84;9,13;8,07;4,6;3,8;6,84
Rio Quente;2014;4,61333333333333;;;;2,3;6,81;3,92;5;4,2;5,45
Rio Quente;2016;5,35333333333333;0;3,76;3,39;8,22;8,36;8,89;5,6;4,9;5,06
Rio Quente;2018;5,37333333333333;0;4,05;4,58;10;8,12;5,15;5,4;5,1;5,96
Rio Verde;2012;5,37833333333334;;;;5,98;7,37;4,6;5,7;4,2;4,42
Rio Verde;2014;5,26166666666667;;;;4,7;6,77;5,38;6;4,4;4,32
Rio Verde;2016;5,01;5,65;5,37;4,22;4,6;4,53;4,52;6,9;5,2;4,1
Rio Verde;2018;5,32888888888889;5,37;5,02;3,39;7,64;5,71;4,24;7,1;5,5;3,99
Rubiataba;2012;6,16833333333333;;;;8,17;9,04;6,22;5,6;4,3;3,68
Rubiataba;2014;5,39833333333333;;;;5,54;7,56;4,16;6,5;5;3,63
Rubiataba;2016;5,59555555555556;5,94;3,03;3,13;6,15;10;5,41;6,7;5,7;4,3
Rubiataba;2018;5,79666666666667;7,56;4,57;1,78;7,6;7,92;5,44;7,2;6;4,1
Sanclerlândia;2012;6,22;;;;7,36;9,49;5,53;5,6;4,6;4,74
Sanclerlândia;2014;5,89;;;;5,61;6,76;6,15;6,2;5;5,62
Sanclerlândia;2016;5,79444444444444;3,64;4,5;3,17;8,43;8,02;7,32;6;5,6;5,47
Sanclerlândia;2018;5,68777777777778;5,36;4,52;2,84;8,59;8,26;4,21;7;5,7;4,71
Santa Bárbara de Goiás;2012;6,15666666666667;;;;7,5;9,49;7,24;5,1;3,4;4,21
Santa Bárbara de Goiás;2014;5,71666666666667;;;;6,99;7,94;6,63;5,2;3,9;3,64
Santa Bárbara de Goiás;2016;5,69;6,67;3,75;2,04;7,32;10;6,55;6,7;4,6;3,58
Santa Bárbara de Goiás;2018;4,84333333333333;4,76;2,99;2,37;8,24;5,31;4,14;6,9;5;3,88
Santa Cruz de Goiás;2012;5,01;;;;6,99;9,3;7,56;0;4,1;2,11
Santa Cruz de Goiás;2014;3,25166666666667;;;;4,11;0,54;4,18;5,3;3,9;1,48
Santa Cruz de Goiás;2016;4,5;1,67;3,89;4,8;6,14;6,89;4,93;5,6;4,6;1,98
Santa Cruz de Goiás;2018;3,78333333333333;2,5;1,8;2,19;4,4;7,85;3,84;5,5;5,2;0,77
Santa Fé de Goiás;2012;5,35666666666667;;;;5,84;8,8;6,02;4,2;3,6;3,68
Santa Fé de Goiás;2014;4,99333333333334;;;;5,55;6,35;6,65;5;3,8;2,61
Santa Fé de Goiás;2016;5,02777777777778;6;3,53;2,71;7,27;7,99;6,07;5,6;4,1;1,98
Santa Fé de Goiás;2018;5,56888888888889;6;4,25;4,06;10;7,18;3,95;6,7;4,9;3,08
Santa Helena de Goiás;2012;5,345;;;;7,03;7,7;4,35;4,9;3,5;4,59
Santa Helena de Goiás;2014;5,51;;;;5,23;8,22;5,55;5,2;4;4,86
Santa Helena de Goiás;2016;5,29333333333333;8,97;6,28;4,57;3,3;5,03;4,92;5,9;4,7;3,97
Santa Helena de Goiás;2018;6,20222222222222;8,18;6,12;4,46;8,51;9,3;4,02;6,1;5,1;4,03
Santa Isabel;2012;5,01;;;;4,32;7,47;4,16;5,8;4,2;4,11
Santa Isabel;2014;4,34166666666667;;;;4,56;4,81;1,3;6;3,7;5,68
Santa Isabel;2016;5,065;5;2,47;1,36;5,17;10;5,14;;5,7;5,68
Santa Isabel;2018;5,30666666666667;6;2,66;3,24;9,52;6,01;3,8;6,3;6;4,23
Santa Rita do Araguaia;2012;4,51666666666667;;;;5,04;5,09;3,74;4,6;4,1;4,53
Santa Rita do Araguaia;2014;3,86;;;;3,73;0,5;4,53;5,5;3,9;5
Santa Rita do Araguaia;2016;4,13888888888889;4,44;3,48;4,57;5,7;1,6;3,29;5,2;4,9;4,07
Santa Rita do Araguaia;2018;4,17555555555556;8;3,37;1,82;3,38;0;5,43;6;5,7;3,88
Santa Rita do Novo Destino;2012;4,86;;;;4,7;6,05;6,43;4,9;4,1;2,98
Santa Rita do Novo Destino;2014;4,86333333333333;;;;4,17;9,22;3,61;5,2;4,1;2,88
Santa Rita do Novo Destino;2016;5,045;7,5;2,38;1,63;5,06;9,23;7,49;;5,3;1,77
Santa Rita do Novo Destino;2018;4,74333333333333;5;3,01;1,37;7,8;7,18;3,9;7;5,7;1,73
Santa Rosa de Goiás;2012;5,63166666666667;;;;4,98;8,49;5,58;5,5;4,5;4,74
Santa Rosa de Goiás;2014;6,39666666666667;;;;5,49;10;6,2;5,4;4,7;6,59
Santa Rosa de Goiás;2016;6,15888888888889;10;3,43;2,81;5,91;10;7,32;5,8;5,1;5,06
Santa Rosa de Goiás;2018;6,20666666666667;10;3,69;1,52;10;10;3,44;6,9;5,5;4,81
Santa Tereza de Goiás;2012;4,60333333333333;;;;3,22;5,76;6,43;4,5;3,6;4,11
Santa Tereza de Goiás;2014;5,28333333333333;;;;5,6;7,68;5,43;4,5;4,1;4,39
Santa Tereza de Goiás;2016;5,06666666666667;5;2,62;3,49;5,91;10;6,24;5,1;5;2,24
Santa Tereza de Goiás;2018;5,4;5,38;2,03;4,08;9,58;8,23;4,74;6,1;5,5;2,96
Santa Terezinha de Goiás;2012;5,44166666666667;;;;7,02;6,35;6,67;4,9;3,5;4,21
Santa Terezinha de Goiás;2014;5,43666666666667;;;;5,39;7,42;5,85;5,6;4,2;4,16
Santa Terezinha de Goiás;2016;5,33;6,52;2,37;2,71;7,2;8,25;7,07;5,5;5;3,35
Santa Terezinha de Goiás;2018;6,11444444444444;6,36;2,93;2,63;10;8,97;9,06;5,9;5,4;3,78
Santo Antônio da Barra;2012;5,18333333333333;;;;7,72;6,55;5,44;4;3;4,39
Santo Antônio da Barra;2014;5,41333333333333;;;;6,51;7,97;5,46;5,1;3,5;3,94
Santo Antônio da Barra;2016;5,04444444444445;0,59;2,55;2,2;9,75;10;7,32;5,6;4,8;2,59
Santo Antônio da Barra;2018;5,98666666666667;7,06;5,09;2,4;9,9;8,69;5,82;6,4;5,1;3,42
Santo Antônio de Goiás;2012;5,92;;;;7,88;7,54;7,06;4,6;3,7;4,74
Santo Antônio de Goiás;2014;5,83333333333333;;;;6,06;9,12;7,14;5,2;4,3;3,18
Santo Antônio de Goiás;2016;5,74;8,42;5,91;2,97;6,46;7,26;7,92;5,4;3,9;3,42
Santo Antônio de Goiás;2018;6,66333333333333;7,37;8,2;4,93;10;9,18;6,29;6,3;5,2;2,5
Santo Antônio do Descoberto;2012;4,915;;;;5,68;7,27;6,36;3,9;3,3;2,98
Santo Antônio do Descoberto;2014;4,54166666666667;;;;5,96;6,09;5,29;3,9;3,8;2,21
Santo Antônio do Descoberto;2016;5,11;5,09;4,63;3,5;5,78;10;6,41;4,4;3,7;2,48
Santo Antônio do Descoberto;2018;5,37666666666667;7,5;5,22;3,98;7,94;7,23;5,39;4,6;4,2;2,33
São Domingos;2012;4,35833333333333;;;;3,94;7,12;4,21;4;3,9;2,98
São Domingos;2014;4,10666666666667;;;;3,82;4,29;2,99;5,3;4,3;3,94
São Domingos;2016;4,34;3,45;2,22;3,05;4,88;9,33;3,33;5;4,8;3
São Domingos;2018;3,67777777777778;4;1,81;2,5;2,95;3,7;5,02;5,4;5,3;2,42
São Francisco de Goiás;2012;4,76;;;;2,61;6,91;3,25;4,8;3,8;7,19
São Francisco de Goiás;2014;5,37;;;;4,28;6,45;5,02;4,9;4,6;6,97
São Francisco de Goiás;2016;6,65777777777778;10;4,52;5,08;2,6;10;8,11;7,1;5,8;6,71
São Francisco de Goiás;2018;6,20555555555556;10;5,38;4,48;5,24;7,42;3,98;7;6;6,35
São João d'Aliança;2012;4,57833333333333;;;;2,52;6,55;5,91;3,6;3,8;5,09
São João d'Aliança;2014;3,125;;;;1,09;0;4,24;4,7;4,1;4,62
São João d'Aliança;2016;4,08555555555556;3,91;2,6;1,3;3,1;4,7;9,17;4,7;4,7;2,59
São João d'Aliança;2018;3,5;3,14;2,26;0,51;4,09;2,56;6,72;4,7;4,9;2,62
São João da Paraúna;2012;5,48666666666667;;;;9,16;8,59;6,53;0;3,9;4,74
São João da Paraúna;2014;5,54166666666667;;;;8,93;6,22;6,18;3,7;3,9;4,32
São João da Paraúna;2016;5,72888888888889;5;5,9;1,67;8,31;10;5,02;5,9;4,7;5,06
São João da Paraúna;2018;6,06222222222222;10;5,5;1,05;10;10;2,38;6,4;5;4,23
São Luis de Montes Belos;2012;5,83333333333333;;;;4,68;9,36;6,86;5,1;3,7;5,3
São Luis de Montes Belos;2014;5,49333333333333;;;;4,2;7,66;7,56;6;4,3;3,24
São Luis de Montes Belos;2016;5,05555555555556;8,63;4,99;4,46;4,37;4,52;4,57;6,2;4,9;2,86
São Luis de Montes Belos;2018;6,16444444444444;8,05;4,83;4,29;7,75;7,67;8,01;6,4;5,3;3,18
São Luiz do Norte;2012;5,05666666666667;;;;6,69;8,83;3,56;5,2;2,9;3,16
São Luiz do Norte;2014;4,7125;;;;4,11;8,85;3,39;;;2,5
São Luiz do Norte;2016;5,93777777777778;10;5,2;3,3;4,5;10;7,55;5,7;4,6;2,59
São Luiz do Norte;2018;6,50111111111111;10;5,81;4,37;8,25;8,66;3,87;6,3;4,9;6,35
São Miguel do Araguaia;2012;4,955;;;;4,66;7,07;5,04;5;3,7;4,26
São Miguel do Araguaia;2014;5,46833333333333;;;;3,79;7,42;7,93;5,5;4,1;4,07
São Miguel do Araguaia;2016;5,90777777777778;8,57;5,5;3,6;4,74;10;5,79;6,2;4,9;3,87
São Miguel do Araguaia;2018;6,25222222222222;7,38;5,38;3,38;8,18;9,69;6,64;6,4;5,3;3,92
São Miguel do Passa Quatro;2012;5,645;;;;7,14;8,32;5,62;4,1;3,6;5,09
São Miguel do Passa Quatro;2014;5,17166666666667;;;;6,78;7,72;4,78;4,6;4,2;2,95
São Miguel do Passa Quatro;2016;5,89444444444445;6;3,06;3,29;7,92;10;7,94;5,5;4,9;4,44
São Miguel do Passa Quatro;2018;5,63777777777778;5,71;3,61;3,15;9,99;10;4,55;4,7;4,8;4,23
São Patrício;2012;5,50333333333334;;;;4,65;8,68;7,31;5;4,4;2,98
São Patrício;2014;4,87;;;;3,73;6,46;5,19;5,6;4,3;3,94
São Patrício;2016;6,38111111111111;10;5,89;2,98;4,7;10;9,24;5,8;5,4;3,42
São Patrício;2018;6,01444444444444;10;5,73;3,21;5,4;8,91;5,61;6,4;5,6;3,27
São Simão;2012;5,445;;;;6,45;7,62;4,55;5,2;3,9;4,95
São Simão;2014;5,99166666666667;;;;6,69;7;7,13;5,5;4,4;5,23
São Simão;2016;5,66333333333333;7,73;4,58;4,62;7,42;6,16;5,42;5,6;4,5;4,94
São Simão;2018;5,86666666666667;4,15;5,43;4,07;9;6,46;7,07;6,4;5,2;5,02
Senador Canedo;2012;4,745;;;;5,2;7,25;5,19;4;3,5;3,33
Senador Canedo;2014;4,65166666666667;;;;3,6;7,55;4,88;4,6;3,6;3,68
Senador Canedo;2016;6,24333333333333;9,18;6,87;4,55;4,41;10;7,5;5,3;4,3;4,08
Senador Canedo;2018;6,42888888888889;8,61;6,6;4,87;8,31;10;6,14;5,6;4,2;3,53
Serranópolis;2012;4,605;;;;4,35;7,47;2,12;4,9;3,7;5,09
Serranópolis;2014;4,46166666666667;;;;4,69;4,85;2,12;6;4,6;4,51
Serranópolis;2016;4,50111111111111;4;3,09;3,09;6,22;5,28;2,89;5,7;5,8;4,44
Serranópolis;2018;4,66333333333333;2,78;2,92;2,69;6,1;6,76;3,84;5,5;6;5,38
Silvânia;2012;5,12166666666667;;;;3,79;7,7;6,79;4,9;4,1;3,45
Silvânia;2014;4,83666666666667;;;;2,71;6;6,38;5,7;4,5;3,73
Silvânia;2016;4,52222222222222;7,25;5,29;5,28;4,96;4,48;0;5,8;4,8;2,84
Silvânia;2018;6,04666666666667;7,65;4,93;4,33;8,09;8,45;6,64;6,1;5,5;2,73
Simolândia;2012;5,33666666666667;;;;5,15;7,79;7,13;3,6;3,4;4,95
Simolândia;2014;5,50333333333333;;;;4,29;7,93;7,42;4,8;4,3;4,28
Simolândia;2016;5,38777777777778;6,67;2,81;2,22;4,8;10;7,75;4,7;5,1;4,44
Simolândia;2018;4,01888888888889;7,14;2,67;1,56;5,35;3,91;1,98;5;5;3,56
Sítio d'Abadia;2012;5,65333333333333;;;;7,39;7,87;7,73;5;3,3;2,63
Sítio d'Abadia;2014;4,054;;;;6,29;5,05;3,82;;4,2;0,91
Sítio d'Abadia;2016;3,63285714285714;5;3,07;0,9;5,05;8,01;3,28;;;0,12
Sítio d'Abadia;2018;4,24888888888889;8;3,97;0,62;3,26;5,07;5,75;5,5;5,3;0,77
Taquaral de Goiás;2012;5,10166666666667;;;;7,08;8,54;2,81;4,8;3,7;3,68
Taquaral de Goiás;2014;5,66;;;;6,35;8,26;5,83;5,1;4,1;4,32
Taquaral de Goiás;2016;6,30666666666667;10;5,39;1,9;6,78;10;9,17;5,5;4,5;3,52
Taquaral de Goiás;2018;6,41555555555556;10;5,42;1,68;10;10;4,52;6;5,6;4,52
Teresina de Goiás;2012;4,83;;;;7,99;7,58;3,43;3,6;3,4;2,98
Teresina de Goiás;2014;4,95166666666667;;;;4,55;6,26;6,85;3,3;3,6;5,15
Teresina de Goiás;2016;4,76888888888889;6,67;1,57;2,95;4,81;7,11;8,62;4,3;4,3;2,59
Teresina de Goiás;2018;3,49222222222222;3,33;0,92;1,53;3,22;6;2,59;4,8;5;4,04
Terezópolis de Goiás;2012;5,26833333333333;;;;6,82;8,65;6,56;4,5;2,8;2,28
Terezópolis de Goiás;2014;5,00666666666667;;;;6,05;8,92;4,44;4,8;3,3;2,53
Terezópolis de Goiás;2016;5,02111111111111;5,83;3,53;5;6,57;8,59;5,34;4,7;4,1;1,53
Terezópolis de Goiás;2018;5,59444444444444;7,65;4,2;4,59;9,5;7,27;6,18;5,4;4,5;1,06
Três Ranchos;2012;6,71833333333333;;;;9,56;10;7,41;5,5;3,1;4,74
Três Ranchos;2014;6,345;;;;10;6,53;5,22;6,7;5,3;4,32
Três Ranchos;2016;5,59;2,73;3,87;2,91;10;10;6,73;6,4;5,9;1,77
Três Ranchos;2018;5,80777777777778;5,83;5,64;1,98;10;10;5,96;6,5;5,4;0,96
Trindade;2012;4,73666666666667;;;;5,48;6,84;4,42;4,6;3,7;3,38
Trindade;2014;4,39333333333333;;;;3,1;6,2;4,45;5;4,1;3,51
Trindade;2016;4,99555555555556;8,35;3,51;3,9;4,02;6,69;5,28;5,6;4,5;3,11
Trindade;2018;5,93555555555555;8,76;5,14;4,5;7,91;7,85;4,32;5,8;5,2;3,94
Trombas;2012;5,14166666666667;;;;2,8;7,43;5,93;5,2;3,7;5,79
Trombas;2014;5,675;;;;4,82;7,63;8,38;4,8;4,1;4,32
Trombas;2016;6,27222222222222;10;6,87;4,19;7,1;10;4,96;5;4,5;3,83
Trombas;2018;5,95;8,33;4,67;2,57;7,52;10;5,82;5,4;5,2;4,04
Turvânia;2012;5,83833333333333;;;;8,32;7,96;6,27;4,8;4;3,68
Turvânia;2014;5,605;;;;7,19;6,94;7,98;5,1;4;2,42
Turvânia;2016;5,92555555555556;8,33;5,29;4,86;8,43;6,4;5,93;6;5,5;2,59
Turvânia;2018;5,79111111111111;7,78;4,77;3,76;10;6,72;4,69;6,3;5,6;2,5
Turvelândia;2012;5,67666666666667;;;;8,23;8,38;4,29;3,9;4;5,26
Turvelândia;2014;6,06166666666667;;;;5,54;10;6,88;4,2;4,3;5,45
Turvelândia;2016;6,18222222222222;5;5,14;3,65;8,42;10;8,47;5,2;4,7;5,06
Turvelândia;2018;5,18777777777778;1,88;5,13;1,79;8,54;9,29;6,63;5,7;4,8;2,93
Uirapuru;2012;4,79833333333333;;;;4,04;7,96;8,69;4,4;3,7;0
Uirapuru;2014;5,342;;;;2,58;9,07;8,03;4,8;;2,23
Uirapuru;2016;5,17444444444444;6,67;4,3;2,14;3,45;10;8,72;4,4;4,3;2,59
Uirapuru;2018;4,66;6,67;4,51;2,62;3,18;10;3,86;5,3;4,8;1
Uruaçu;2012;5,12666666666667;;;;5,51;6,15;6,01;4,8;3,9;4,39
Uruaçu;2014;5,63333333333333;;;;4,95;7,45;7,57;5,1;4,3;4,43
Uruaçu;2016;5,62444444444444;5,16;4,18;4,8;4,44;8,77;8,2;5,8;4,8;4,47
Uruaçu;2018;6,04555555555556;6,25;5,44;4,72;8,27;8,45;5,26;6,4;5,2;4,42
Uruana;2012;5,50666666666667;;;;7,9;5,57;5,24;5,2;4,3;4,83
Uruana;2014;5,49;;;;6,3;7,37;5,21;5,4;3,5;5,16
Uruana;2016;5,35333333333333;2,5;2,82;4,13;6,55;9,71;6;6,2;5,3;4,97
Uruana;2018;6,25111111111111;5,88;3,97;3,3;7,95;8,09;10;6,5;5,6;4,97
Urutaí;2012;6,40166666666667;;;;7,9;7,68;8,64;5;4,1;5,09
Urutaí;2014;5,39;;;;4,3;5,06;10;5,7;4,1;3,18
Urutaí;2016;5,52888888888889;1,18;3,41;6,06;9,83;6,81;10;5,3;5,4;1,77
Urutaí;2018;5,51111111111111;2,86;2,05;6,45;10;7,67;6,27;6,5;5,3;2,5
Valparaíso de Goiás;2012;5,48833333333334;;;;7,25;7,19;7,16;4,3;3,5;3,53
Valparaíso de Goiás;2014;4,44;;;;5,7;5,63;3,44;4,6;3,7;3,57
Valparaíso de Goiás;2016;5;7,28;5,91;4,89;5,27;5,63;4,33;4,9;4,1;2,69
Valparaíso de Goiás;2018;5,68111111111111;7,43;6,15;4,9;8,02;7,43;5,08;5,2;4,4;2,52
Varjão;2012;5,51666666666667;;;;6,52;8,22;7,08;4,1;3,5;3,68
Varjão;2014;6,37833333333334;;;;6,07;9,43;7,76;5,2;3,6;6,21
Varjão;2016;4,67111111111111;2,5;3,31;1,95;5,73;10;7,06;4,2;4,7;2,59
Varjão;2018;5,34888888888889;2;2,19;1,71;9,25;10;10;5,3;5;2,69
Vianópolis;2012;5,95666666666667;;;;7,16;8,74;5,15;5,1;3,8;5,79
Vianópolis;2014;5,52333333333333;;;;3,79;7,69;6,86;5,4;4,9;4,5
Vianópolis;2016;6,06;5,56;5,24;4,09;6,99;8,13;8,07;6;5,4;5,06
Vianópolis;2018;5,93;2,5;5,38;4,44;10;10;4,44;6,4;5,4;4,81
Vicentinópolis;2012;4,96166666666667;;;;6,95;9,22;1,62;4,8;3,5;3,68
Vicentinópolis;2014;5,57833333333333;;;;6,73;9,46;4,58;5,3;4,6;2,8
Vicentinópolis;2016;5,33222222222222;6,92;4,78;3,85;2,7;9,77;6,29;6;5,6;2,08
Vicentinópolis;2018;5,33222222222222;5,38;5,2;3,26;7,81;7,82;3,62;6,7;5,8;2,4
Vila Boa;2012;3,27166666666667;;;;0;6,49;3,83;3,6;3,6;2,11
Vila Boa;2014;4,335;;;;0;8,58;7;4;4,2;2,23
Vila Boa;2016;4,81111111111111;8,33;3,86;2,12;3,55;7,28;6,2;4,6;4,3;3,06
Vila Boa;2018;4,75888888888889;8,33;6,7;0,63;3,62;7,03;4,49;5;4,1;2,93
Vila Propício;2012;5,05333333333333;;;;1,61;7,3;7,67;4,9;4,1;4,74
Vila Propício;2014;5,29;;;;3,05;7,91;8,47;5;3,8;3,51
Vila Propício;2016;4,96222222222222;1,5;2,25;2,66;6,15;9,53;7,95;5,8;5,4;3,42
Vila Propício;2018;4,90222222222222;1,6;3,13;1,53;8,8;10;3,39;7;5,4;3,27
