Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Novo Gama;2018;4,2825;0,3;10;1,99;4,84
Novo Planalto;2012;2,0925;1,21;2,48;1,84;2,84
Novo Planalto;2014;2,3625;1,35;0,49;2,29;5,32
Novo Planalto;2016;2,82;1,61;5,81;1,57;2,29
Novo Planalto;2018;2,675;1,48;4,33;1,74;3,15
Orizona;2012;2,3075;1,63;2,68;1,59;3,33
Orizona;2014;2,36;1,76;0,57;1,93;5,18
Orizona;2016;3,385;2,38;7,23;1,37;2,56
Orizona;2018;3,0775;2,48;5,07;1,4;3,36
Ouro Verde de Goiás;2012;1,7375;1,14;1,43;1,16;3,22
Ouro Verde de Goiás;2014;1,98;1,21;0,31;1,47;4,93
Ouro Verde de Goiás;2016;2,2475;1,47;3,86;1,57;2,09
Ouro Verde de Goiás;2018;1,925;1,34;1,57;1,75;3,04
Ouvidor;2012;4,695;2,63;3,18;10;2,97
Ouvidor;2014;3,275;1,72;0,59;7,59;3,2
Ouvidor;2016;6,735;3,64;8,97;10;4,33
Ouvidor;2018;6,5825;3,76;9,09;10;3,48
Padre Bernardo;2012;2,0375;0,82;2,4;1,94;2,99
Padre Bernardo;2014;2,24;0,89;0,45;2,37;5,25
Padre Bernardo;2016;2,7775;1,05;5,84;1,93;2,29
Padre Bernardo;2018;2,87;1,19;4,95;1,74;3,6
Palestina de Goiás;2012;1,83;0,95;1,56;1,94;2,87
Palestina de Goiás;2014;2,35;1,05;0,32;2,92;5,11
Palestina de Goiás;2016;2,295;1,02;3,88;2,69;1,59
Palestina de Goiás;2018;2,55;1,24;2,5;2,79;3,67
Palmeiras de Goiás;2012;2,7525;2,57;2,19;1,94;4,31
Palmeiras de Goiás;2014;2,7675;2,79;0,42;2,57;5,29
Palmeiras de Goiás;2016;3,1775;3,57;5,28;1,48;2,38
Palmeiras de Goiás;2018;3,36;3,42;5,05;1,69;3,28
Palmelo;2012;2,315;1,35;3,16;1,75;3
Palmelo;2014;1,7125;1,15;0,65;0,94;4,11
Palmelo;2016;3,145;1,53;8,03;0,54;2,48
Palmelo;2018;4,035;1,93;8,89;1,46;3,86
Palminópolis;2012;2,27;1,45;2,45;1,53;3,65
Palminópolis;2014;2,5025;1,75;0,49;2,16;5,61
Palminópolis;2016;2,92;1,94;6,26;1,66;1,82
Palminópolis;2018;3,025;2,12;4,7;1,8;3,48
Panamá;2012;1,675;1,27;2,01;1,56;1,86
Panamá;2014;2,5175;1,6;0,46;2,37;5,64
Panamá;2016;2,93;1,89;5,78;2,08;1,97
Panamá;2018;2,955;2,29;3,95;1,82;3,76
Paranaiguara;2012;1,6075;1;1,14;1,54;2,75
Paranaiguara;2014;2,0975;1,05;0,2;2,16;4,98
Paranaiguara;2016;1,9425;1,02;3,83;1,26;1,66
Paranaiguara;2018;2,23;1,27;2,24;1,74;3,67
Paraúna;2012;2,5;2,41;1,51;2,31;3,77
Paraúna;2014;2,7175;2,61;0,33;2,87;5,06
Paraúna;2016;2,995;3,5;4,09;1,96;2,43
Paraúna;2018;2,885;3,86;2,06;2,07;3,55
Perolândia;2012;6,1925;7,26;1,85;5,66;10
Perolândia;2014;5,89;8,65;0,37;8,88;5,66
Perolândia;2016;5,1525;8,14;4,82;6,38;1,27
Perolândia;2018;4,4825;7,78;2,16;4,73;3,26
Petrolina de Goiás;2012;2,14;0,87;2,78;1,19;3,72
Petrolina de Goiás;2014;1,9425;0,83;0,45;1,85;4,64
Petrolina de Goiás;2016;2,515;1,02;5,7;1,16;2,18
Petrolina de Goiás;2018;2,345;1,02;4,38;0,77;3,21
Pilar de Goiás;2012;3,0175;2,4;0,91;2,03;6,73
Pilar de Goiás;2014;4,53;3,47;0,6;7,78;6,27
Pilar de Goiás;2016;5,38;5,32;7,92;5,47;2,81
Pilar de Goiás;2018;5,02;5,3;6,92;4,64;3,22
Piracanjuba;2012;2,135;1,17;1,68;2,91;2,78
Piracanjuba;2014;2,4275;1,32;0,36;2,78;5,25
Piracanjuba;2016;2,665;1,68;4,52;2,14;2,32
Piracanjuba;2018;2,615;1,76;3,09;2,24;3,37
Piranhas;2012;2,065;0,89;2,29;1,95;3,13
Piranhas;2014;2,525;1,17;0,4;2,79;5,74
Piranhas;2016;3,055;1,62;6,37;1,71;2,52
Piranhas;2018;2,5;1,68;2,76;2,27;3,29
Pirenópolis;2012;2,2025;1,19;2,96;1,4;3,26
Pirenópolis;2014;2,52;1,54;0,54;2,03;5,97
Pirenópolis;2016;3,24;1,68;8,13;1,29;1,86
Pirenópolis;2018;3,695;2,14;7,21;1,52;3,91
Pires do Rio;2012;2,205;2,31;2,18;1,32;3,01
Pires do Rio;2014;2,4475;2,51;0,45;1,67;5,16
Pires do Rio;2016;3,0475;3,22;5,43;1,21;2,33
Pires do Rio;2018;3,105;3,17;4,66;1,29;3,3
Planaltina;2012;2,5425;0,8;3,14;2,53;3,7
Planaltina;2014;2,285;0,86;0,63;2,5;5,15
Planaltina;2016;3,8275;0,88;10;2,51;1,92
Planaltina;2018;3,9325;0,98;8,91;2,33;3,51
Pontalina;2012;1,9525;1,37;2,25;0,99;3,2
Pontalina;2014;2,05;1,45;0,37;1,35;5,03
Pontalina;2016;2,4775;1,8;4,68;1,18;2,25
Pontalina;2018;2,4;2,06;2,7;1,23;3,61
Porangatu;2012;2,5;1,4;3,24;1,94;3,42
Porangatu;2014;2,38;1,52;0,6;2,26;5,14
Porangatu;2016;3,355;1,78;8,01;1,57;2,06
Porangatu;2018;3,6575;2,04;7,58;1,38;3,63
Porteirão;2012;2,9325;2,55;1,4;5,02;2,76
Porteirão;2014;3,2675;2,64;0,27;5,13;5,03
Porteirão;2016;2,555;2,29;3,65;3;1,28
Porteirão;2018;2,3975;2,24;1,49;2,63;3,23
Portelândia;2012;2,2525;1,81;1,27;2,96;2,97
Portelândia;2014;2,7775;1,97;0,26;3,68;5,2
Portelândia;2016;2,5125;2,07;3,16;3,15;1,67
Portelândia;2018;2,4425;2,63;0;3,24;3,9
Posse;2012;2,075;1,1;2,52;1,4;3,28
Posse;2014;1,995;1,09;0,54;1,44;4,91
Posse;2016;3,1575;1,37;7,63;1,25;2,38
Posse;2018;3,5375;1,39;8,17;1,25;3,34
Professor Jamil;2012;2,5675;0,9;3,01;2,11;4,25
Professor Jamil;2014;2,3725;1,12;0,6;2,29;5,48
Professor Jamil;2016;3,23;1,53;7,27;1,57;2,55
Professor Jamil;2018;3,47;1,4;7,85;1,58;3,05
Quirinópolis;2012;3,115;2,68;2,34;3,97;3,47
Quirinópolis;2014;3,4875;3,08;0,43;4,96;5,48
Quirinópolis;2016;3,58;3,4;5,92;3,15;1,85
Quirinópolis;2018;3,7275;3,35;4,66;3,6;3,3
Rialma;2012;2,255;1,32;2,65;1,94;3,11
Rialma;2014;2,385;1,55;0,48;2,02;5,49
Rialma;2016;3,0475;1,49;7,79;1,42;1,49
Rialma;2018;3,7325;1,89;7,85;1,37;3,82
Rianápolis;2012;2,01;1,88;2,23;2,72;1,21
Rianápolis;2014;2,5125;1,94;0,34;2,91;4,86
Rianápolis;2016;2,95;1,87;6,5;1,98;1,45
Rianápolis;2018;3,1075;1,69;5,58;2,1;3,06
Rio Quente;2012;4,6975;10;2,63;2,57;3,59
Rio Quente;2014;4,56;10;0,49;2,77;4,98
Rio Quente;2016;5,1925;10;6,52;1,69;2,56
Rio Quente;2018;5,1225;10;5,12;2,04;3,33
Rio Verde;2012;3,1425;3,05;2,7;3,52;3,3
Rio Verde;2014;3,285;3,22;0,5;4,21;5,21
Rio Verde;2016;3,8675;3,87;6,57;2,8;2,23
Rio Verde;2018;3,895;3,67;5,68;2,96;3,27
Rubiataba;2012;2,7225;1,82;2,32;2,44;4,31
Rubiataba;2014;2,6;1,94;0,48;2,94;5,04
Rubiataba;2016;3,2525;2,5;5,96;2,2;2,35
Rubiataba;2018;3,43;2,64;4,83;2,81;3,44
Sanclerlândia;2012;1,625;1,5;1,87;0,38;2,75
Sanclerlândia;2014;2,0375;1,69;0,45;0,82;5,19
Sanclerlândia;2016;2,945;2,13;7,1;0,31;2,24
Sanclerlândia;2018;3,24;2,36;6,99;0,13;3,48
Santa Bárbara de Goiás;2012;2,655;2,18;2,49;1,82;4,13
Santa Bárbara de Goiás;2014;2,385;2,11;0,56;2,15;4,72
Santa Bárbara de Goiás;2016;3,09;2,17;6,91;1,62;1,66
Santa Bárbara de Goiás;2018;3,105;1,91;6,33;1,18;3
Santa Cruz de Goiás;2012;1,65;1,37;0,41;1,5;3,32
Santa Cruz de Goiás;2014;2,305;1,56;0,12;2,34;5,2
Santa Cruz de Goiás;2016;3,21;2,58;5,61;1,57;3,08
Santa Cruz de Goiás;2018;2,59;2,31;3,94;1,12;2,99
Santa Fé de Goiás;2012;2,525;3,21;1,6;2,02;3,27
Santa Fé de Goiás;2014;3,375;3,79;0,28;3,82;5,61
Santa Fé de Goiás;2016;3,145;4,12;4,01;2,67;1,78
Santa Fé de Goiás;2018;3,2425;4,67;1,51;3,06;3,73
Santa Helena de Goiás;2012;2,57;2,06;1,97;2,38;3,87
Santa Helena de Goiás;2014;3,0675;2,63;0,38;3,37;5,89
Santa Helena de Goiás;2016;2,815;2,43;5,67;1,88;1,28
Santa Helena de Goiás;2018;2,905;2,34;4,13;1,96;3,19
Santa Isabel;2012;1,9225;0,96;1,99;2,12;2,62
Santa Isabel;2014;2,1625;1,03;0,36;2,2;5,06
Santa Isabel;2016;2,31;1,2;4,59;1,36;2,09
Santa Isabel;2018;2,245;1,24;3,1;1,29;3,35
Santa Rita do Araguaia;2012;2,5;1,06;2,05;2,39;4,5
Santa Rita do Araguaia;2014;2,605;1,14;0,38;3,71;5,19
Santa Rita do Araguaia;2016;2,5225;1,16;4,58;2,52;1,83
Santa Rita do Araguaia;2018;2,3925;1;2,65;2,89;3,03
Santa Rita do Novo Destino;2012;1,9325;0,75;3,06;1,33;2,59
Santa Rita do Novo Destino;2014;2,6275;1,16;0,42;2,34;6,59
Santa Rita do Novo Destino;2016;2,9625;1,91;4,43;2,32;3,19
Santa Rita do Novo Destino;2018;2,5225;2,42;2,02;1,74;3,91
Santa Rosa de Goiás;2012;1,9175;0,86;2,04;2;2,77
Santa Rosa de Goiás;2014;0,5475;0,07;0,35;1,29;0,48
Santa Rosa de Goiás;2016;4,5675;1,42;6,17;1,18;9,5
Santa Rosa de Goiás;2018;2,59;1,43;4,54;1,24;3,15
Santa Tereza de Goiás;2012;2,045;0,98;2,82;1,67;2,71
Santa Tereza de Goiás;2014;2,35;1,19;0,52;2,34;5,35
Santa Tereza de Goiás;2016;2,86;1,48;6,16;1,71;2,09
Santa Tereza de Goiás;2018;2,9125;1,59;5,11;1,59;3,36
Santa Terezinha de Goiás;2012;1,6625;0,81;1,55;1,1;3,19
Santa Terezinha de Goiás;2014;1,895;0,8;0,34;1,84;4,6
Santa Terezinha de Goiás;2016;2,23;1,07;4,54;0,94;2,37
Santa Terezinha de Goiás;2018;1,745;0,94;2,35;0,8;2,89
Santo Antônio da Barra;2012;4,0925;2,17;2,31;4,74;7,15
Santo Antônio da Barra;2014;3,0525;2,2;0,44;4,68;4,89
Santo Antônio da Barra;2016;3,64;3,56;3,86;3,91;3,23
Santo Antônio da Barra;2018;3,015;3,13;1,76;4,13;3,04
Santo Antônio de Goiás;2012;3,1875;3,68;2,75;1,81;4,51
Santo Antônio de Goiás;2014;3,2575;4,11;0,52;2,91;5,49
Santo Antônio de Goiás;2016;4,395;5,06;7,92;2,25;2,35
Santo Antônio de Goiás;2018;4,44;4,9;7,16;2,32;3,38
Santo Antônio do Descoberto;2012;3,69;0,71;3,52;2,53;8
Santo Antônio do Descoberto;2014;2,39;0,78;0,67;2,8;5,31
Santo Antônio do Descoberto;2016;3,285;0,67;8,51;2,44;1,52
Santo Antônio do Descoberto;2018;3,6375;1;7,92;1,49;4,14
São Domingos;2012;1,97;0,7;2,68;1,81;2,69
São Domingos;2014;1,9675;0,5;0,47;3;3,9
São Domingos;2016;2,8225;0,61;6,29;1,91;2,48
São Domingos;2018;2,7075;0,64;5,15;1,72;3,32
São Francisco de Goiás;2012;1,935;1,12;2,78;0,94;2,9
São Francisco de Goiás;2014;2,1225;1,3;0,49;1,33;5,37
São Francisco de Goiás;2016;3,135;1,82;7,23;0,87;2,62
São Francisco de Goiás;2018;3,065;1,89;5,98;1,04;3,35
São João d'Aliança;2012;3,575;0;10;1,27;3,03
São João d'Aliança;2014;2,325;1,22;0,31;2,14;5,63
São João d'Aliança;2016;1,4475;1,41;0;1,56;2,82
São João d'Aliança;2018;4,08;1,45;3,13;1,74;10
São João da Paraúna;2012;3,01;7,62;0;1,5;2,92
São João da Paraúna;2014;2,325;1,61;0,5;2,22;4,97
São João da Paraúna;2016;3,1775;2,51;6,37;1,57;2,26
São João da Paraúna;2018;2,005;2,03;4,57;1,42;0
São Luis de Montes Belos;2012;2,3725;1,78;2,94;1,95;2,82
São Luis de Montes Belos;2014;2,3425;1,73;0,6;2,34;4,7
São Luis de Montes Belos;2016;3,535;2,23;7,88;1,66;2,37
São Luis de Montes Belos;2018;3,8625;2,35;7,92;1,74;3,44
São Luiz do Norte;2012;2,6775;1,26;3,8;1,88;3,77
São Luiz do Norte;2014;2,0575;1,09;0,71;2,15;4,28
São Luiz do Norte;2016;3,5275;1,38;8,78;1,58;2,37
São Luiz do Norte;2018;3,83;1,44;8,83;1,66;3,39
São Miguel do Araguaia;2012;2,2175;1,26;1,83;2,44;3,34
São Miguel do Araguaia;2014;2,39;1,36;0,39;2,77;5,04
São Miguel do Araguaia;2016;2,91;1,8;5,15;2,26;2,43
São Miguel do Araguaia;2018;2,8275;1,64;4,12;2,51;3,04
São Miguel do Passa Quatro;2012;2,12;1,63;2,02;1,49;3,34
São Miguel do Passa Quatro;2014;2,3425;1,8;0,47;1,92;5,18
São Miguel do Passa Quatro;2016;2,7275;2,19;5,03;1,49;2,2
São Miguel do Passa Quatro;2018;2,41;2,21;3,2;0,95;3,28
São Patrício;2012;4,295;6,71;1,09;5,08;4,3
São Patrício;2014;4,3225;6,98;0,29;5,07;4,95
São Patrício;2016;4,5075;8,75;3,17;3,88;2,23
São Patrício;2018;4,315;7,96;1,1;5,13;3,07
São Simão;2012;2,59;1,72;2,67;3,08;2,89
São Simão;2014;3,435;2,25;0,47;4,91;6,11
São Simão;2016;3,1775;2,25;6,45;2,37;1,64
São Simão;2018;3,345;2,32;5,08;2,54;3,44
Senador Canedo;2012;2,5525;1,01;2,44;2,24;4,52
Senador Canedo;2014;3,2325;1,89;0,46;2,62;7,96
Senador Canedo;2016;3,35;2,22;7,02;1,91;2,25
Senador Canedo;2018;3,435;2,3;5,83;2,09;3,52
Serranópolis;2012;2,2525;2,27;1,26;2,88;2,6
Serranópolis;2014;3,005;2,38;0,28;4,34;5,02
Serranópolis;2016;2,985;3,01;3,44;3,15;2,34
Serranópolis;2018;3,1875;3,5;2,51;2,95;3,79
Silvânia;2012;2,1975;1,49;1,88;1,94;3,48
Silvânia;2014;2,4975;1,67;0,42;2,57;5,33
Silvânia;2016;2,9625;2,08;5,72;1,77;2,28
Silvânia;2018;3,0075;2,22;4,53;1,8;3,48
Simolândia;2012;1,9575;0,81;2,86;1,29;2,87
Simolândia;2014;2,23;0,98;0,64;1,8;5,5
Simolândia;2016;3,275;1,28;8,41;0,94;2,47
Simolândia;2018;3,3575;1,14;8,19;1,12;2,98
Sítio d'Abadia;2012;2,065;0,91;3,06;1,2;3,09
Sítio d'Abadia;2014;0,665;0;0,32;2,34;0
Sítio d'Abadia;2016;4,3025;1,13;5,03;1,05;10
Sítio d'Abadia;2018;2,3825;1,23;4,03;0,81;3,46
Taquaral de Goiás;2012;1,8825;1,27;2,42;0,7;3,14
Taquaral de Goiás;2014;2,11;1,59;0,49;0,59;5,77
Taquaral de Goiás;2016;2,9675;2,2;6,76;0,28;2,63
Taquaral de Goiás;2018;2,7975;2,18;5,39;0,42;3,2
Teresina de Goiás;2012;1,88;0,88;2,55;1,6;2,49
Teresina de Goiás;2014;2,145;1,1;0,51;1,21;5,76
Teresina de Goiás;2016;2,765;1,19;6,95;0,95;1,97
Teresina de Goiás;2018;2,7175;1,23;5,64;0,62;3,38
Terezópolis de Goiás;2012;2,8325;1,64;2,83;1,95;4,91
Terezópolis de Goiás;2014;2,115;1,31;0,49;2,62;4,04
Terezópolis de Goiás;2016;3,5125;2,14;6,55;2,04;3,32
Terezópolis de Goiás;2018;3,53;1,81;7,54;1,79;2,98
Três Ranchos;2012;2,0325;1,34;1,76;3,32;1,71
Três Ranchos;2014;2,6025;1,76;0,47;2,34;5,84
Três Ranchos;2016;2,7725;2;5,92;1,26;1,91
Três Ranchos;2018;3,02;2,1;4,85;1,74;3,39
Trindade;2012;2,4825;1,35;2,64;2;3,94
Trindade;2014;2,2125;1,26;0,51;2,43;4,65
Trindade;2016;3,1025;1,54;6,91;1,63;2,33
Trindade;2018;3,305;1,57;6,36;1,91;3,38
Trombas;2012;1,62;0,7;2,15;1,39;2,24
Trombas;2014;0,685;0,05;0,25;1,56;0,88
Trombas;2016;4,0075;1,09;4,74;1,57;8,63
Trombas;2018;2,235;1,28;3,88;0,19;3,59
Turvânia;2012;2,16;1,05;2,43;1,4;3,76
Turvânia;2014;1,84;1,01;0,5;1,26;4,59
Turvânia;2016;2,6825;1,27;6,1;1,17;2,19
Turvânia;2018;2,9125;1,28;6,21;0,94;3,22
Turvelândia;2012;5,065;4,21;1,35;6,35;8,35
Turvelândia;2014;4,445;4,26;0,29;8,31;4,92
Turvelândia;2016;4,655;7,41;2,85;4,75;3,61
Turvelândia;2018;4,0325;7,45;0,46;4,76;3,46
Uirapuru;2012;2,305;0,91;3,36;2,77;2,18
Uirapuru;2014;2,6225;0,84;0,55;4,68;4,42
Uirapuru;2016;3,4075;1,17;6,95;2,85;2,66
Uirapuru;2018;3,2475;1,38;5,86;2,14;3,61
Uruaçu;2012;2,48;1,53;3,47;1,82;3,1
Uruaçu;2014;2,3625;1,61;0,64;2,17;5,03
Uruaçu;2016;3,4875;1,88;8,33;1,66;2,08
Uruaçu;2018;3,85;1,99;8,19;1,78;3,44
Uruana;2012;1,7925;0,38;2,83;1,35;2,61
Uruana;2014;2,06;0,4;0,58;2,34;4,92
Uruana;2016;2,7775;0,4;7,2;1,57;1,94
Uruana;2018;2,525;0,65;3,9;1,65;3,9
Urutaí;2012;2,895;2,58;3,34;3,08;2,58
Urutaí;2014;3,33;2,69;0,58;5,11;4,94
Urutaí;2016;4,525;4,1;7,64;3,33;3,03
Urutaí;2018;4,47;3,98;7,7;3,02;3,18
Valparaíso de Goiás;2012;2,8525;1,02;3,59;2,02;4,78
Valparaíso de Goiás;2014;2,2675;0,99;0,65;2,58;4,85
Valparaíso de Goiás;2016;3,47;1,35;8,13;1,64;2,76
Valparaíso de Goiás;2018;3,8425;1,25;8,86;2,08;3,18
Varjão;2012;1,735;1,2;1,31;1,81;2,62
Varjão;2014;2,245;1,33;0,28;2,22;5,15
Varjão;2016;2,17;1,73;3,84;0,75;2,36
Varjão;2018;1,9575;1,44;1,8;1,72;2,87
Vianópolis;2012;2,185;1,85;1,7;1,94;3,25
Vianópolis;2014;2,2075;1,69;0,33;2,34;4,47
Vianópolis;2016;2,6575;2,2;4,3;1,7;2,43
Vianópolis;2018;2,5725;2,18;2,72;2,09;3,3
Vicentinópolis;2012;2,7;2,09;1,89;3,88;2,94
Vicentinópolis;2014;3,845;2,49;0,19;6,98;5,72
Vicentinópolis;2016;3,245;3,27;3,3;3,95;2,46
Vicentinópolis;2018;3,3075;3,28;2,18;4,39;3,38
Vila Boa;2012;2,4325;2,06;2,83;1,81;3,03
Vila Boa;2014;2,4125;1,97;0,3;2,53;4,85
Vila Boa;2016;2,72;1,88;5,87;1,5;1,63
Vila Boa;2018;1,7175;2;0,07;1,18;3,62
Vila Propício;2012;1,38;0,73;1,31;1,78;1,7
Vila Propício;2014;3,48;1,91;0,3;2,37;9,34
Vila Propício;2016;2,4075;1,81;4,45;1,89;1,48
Vila Propício;2018;2,54;2,29;2,28;1,64;3,95
