Localidade;Ano;IDM Geral;IDM Economia;IDM Educacao;IDM Infraestrutura;IDM Saude;IDM Seguranca;IDM Trabalho
Planaltina;2014;4,25666666666667;1,75;5,02;3,85;6,51;6,12;2,29
Planaltina;2016;4,745;1,55;5,92;4,2;6,97;6,00;3,83
Planaltina;2018;4,90666666666667;1,13;5,92;5,02;6,8;6,64;3,93
Pontalina;2012;4,70333333333333;1,44;4,69;4,49;7,43;8,22;1,95
Pontalina;2014;4,60166666666667;1,91;4,97;5,21;6,84;6,63;2,05
Pontalina;2016;4,8;1,83;5,23;5,35;6,56;7,36;2,47
Pontalina;2018;5,085;1,44;5,92;5,23;7,62;7,90;2,4
Porangatu;2012;4,06166666666667;1,23;4,59;3,23;6,28;6,54;2,5
Porangatu;2014;4,28333333333333;2,2;4,83;3,31;6,23;6,75;2,38
Porangatu;2016;4,23;2,01;3,94;3,36;6,22;6,50;3,35
Porangatu;2018;4,51666666666667;1,56;5,08;3,54;6,91;6,35;3,66
Porteirão;2012;4,82166666666667;1,83;4,24;3,07;6,89;9,97;2,93
Porteirão;2014;4,975;2,19;4,42;3,38;7,23;9,36;3,27
Porteirão;2016;4,84166666666667;2,93;5,77;3,26;7,26;7,27;2,56
Porteirão;2018;5,26166666666667;2,32;5,99;4,16;9,3;7,40;2,4
Portelândia;2012;4,445;1,44;4,04;2,55;6,8;9,59;2,25
Portelândia;2014;5,34166666666667;2,09;6,28;2,71;8,3;9,89;2,78
Portelândia;2016;4,96166666666667;2;5,84;2,96;7,92;8,54;2,51
Portelândia;2018;4,985;1,66;5,68;3,51;8,06;8,56;2,44
Posse;2012;4,26333333333333;1,37;4,79;3,25;6,67;7,42;2,08
Posse;2014;4,25166666666667;1,64;5,47;3,82;5,68;6,90;2
Posse;2016;4,45166666666667;1,98;5,81;3,64;5,56;6,56;3,16
Posse;2018;4,70333333333333;1,6;4,85;3,71;6,62;7,90;3,54
Professor Jamil;2012;4,84333333333333;1,09;5,93;2,62;7,03;9,82;2,57
Professor Jamil;2014;5,03833333333333;1,62;6,31;2,9;7,36;9,67;2,37
Professor Jamil;2016;4,38;1,38;5,75;3,12;6,1;6,70;3,23
Professor Jamil;2018;4,60833333333333;0,76;5,72;3,81;7,34;6,55;3,47
Quirinópolis;2012;5,11833333333333;2,01;5,68;5,26;7,48;7,16;3,12
Quirinópolis;2014;5,08333333333333;2,54;5,52;5,63;6,35;6,97;3,49
Quirinópolis;2016;5,245;2,68;5,39;5,6;7,48;6,74;3,58
Quirinópolis;2018;5,44;2,31;6,08;5,82;7,72;6,98;3,73
Rialma;2012;4,385;1,45;6,91;3,74;5,49;6,46;2,26
Rialma;2014;4,13;1,39;3,7;3,88;7,29;6,13;2,39
Rialma;2016;4,69333333333333;1,34;5,14;3,91;8;6,72;3,05
Rialma;2018;4,78166666666667;1,21;4,97;4,44;8,67;5,67;3,73
Rianápolis;2012;4,31333333333333;0,75;5,59;3,01;7,2;7,32;2,01
Rianápolis;2014;4,4;1,19;5,77;3,22;6,82;6,89;2,51
Rianápolis;2016;4,70833333333333;1,91;6,11;3,24;7,1;6,94;2,95
Rianápolis;2018;4,55833333333333;1,02;5,33;3,58;7,8;6,51;3,11
Rio Quente;2012;5,56166666666667;2,47;6,55;5,42;6,86;7,37;4,7
Rio Quente;2014;5,16333333333333;2,93;4,61;5,27;7,12;6,49;4,56
Rio Quente;2016;5,71333333333333;2,51;5,35;4,95;7,96;8,32;5,19
Rio Quente;2018;5,36;2,31;5,37;4,72;7,36;7,28;5,12
Rio Verde;2012;5,14833333333333;3,96;5,38;4,69;7,76;5,96;3,14
Rio Verde;2014;4,83666666666667;4,35;5,26;4,66;5,44;6,03;3,28
Rio Verde;2016;4,71166666666667;4,22;5,01;4,65;5,17;5,35;3,87
Rio Verde;2018;4,89166666666667;3,77;5,33;4,82;5,26;6,27;3,9
Rubiataba;2012;5,145;1,16;6,17;3,83;8,74;8,25;2,72
Rubiataba;2014;5,19833333333333;1,62;5,4;5,31;7,91;8,35;2,6
Rubiataba;2016;5,27833333333333;1,61;5,59;5,61;8,33;7,27;3,26
Rubiataba;2018;5,33166666666667;1,51;5,8;5,46;9,06;6,73;3,43
Sanclerlândia;2012;4,50166666666667;1,71;6,22;3,79;6,8;6,87;1,62
Sanclerlândia;2014;4,75333333333333;1,54;5,89;3,62;7,6;7,83;2,04
Sanclerlândia;2016;4,81333333333333;1,25;5,79;3,65;7,47;7,77;2,95
Sanclerlândia;2018;5,14333333333333;0,98;5,69;5,23;7,66;8,06;3,24
Santa Bárbara de Goiás;2012;5,005;1,45;6,16;3,28;7,14;9,34;2,66
Santa Bárbara de Goiás;2014;4,97;1,76;5,72;3,68;7,94;8,34;2,38
Santa Bárbara de Goiás;2016;4,62833333333333;1,4;5,69;3,22;7,62;6,75;3,09
Santa Bárbara de Goiás;2018;4,40666666666667;0,97;4,84;3,51;8,24;5,78;3,1
Santa Cruz de Goiás;2012;4,44666666666667;1,38;5,01;1,38;7,41;9,85;1,65
Santa Cruz de Goiás;2014;4,345;1,85;3,25;1,56;7,36;9,75;2,3
Santa Cruz de Goiás;2016;4,665;2,01;4,5;1,58;8,66;8,03;3,21
Santa Cruz de Goiás;2018;4,30833333333333;1,39;3,78;1,5;8,81;7,78;2,59
Santa Fé de Goiás;2012;4,80166666666667;1,22;5,36;3,03;7,27;9,40;2,53
Santa Fé de Goiás;2014;4,945;1,89;4,99;3,11;7,33;8,98;3,37
Santa Fé de Goiás;2016;5,03166666666667;2,37;5,03;3,1;7,32;9,23;3,14
Santa Fé de Goiás;2018;4,89833333333333;1,4;5,57;3,61;7,16;8,41;3,24
Santa Helena de Goiás;2012;5,335;1,99;5,34;5,82;8,84;7,45;2,57
Santa Helena de Goiás;2014;5,53;2,44;5,51;6,1;8,43;7,63;3,07
Santa Helena de Goiás;2016;5,33666666666667;2,24;5,29;6,03;8,54;7,10;2,82
Santa Helena de Goiás;2018;5,36833333333333;1,85;6,2;6,17;8,29;6,79;2,91
Santa Isabel;2012;4,32333333333333;1,12;5,01;2,33;7,85;7,71;1,92
Santa Isabel;2014;4,52333333333333;1,78;4,34;2,29;7,18;9,39;2,16
Santa Isabel;2016;4,71833333333333;1,7;5,06;2,33;7,7;9,21;2,31
Santa Isabel;2018;4,59833333333333;1,39;5,31;2,4;7,5;8,74;2,25
Santa Rita do Araguaia;2012;4,69;0,91;4,52;3,94;6,52;9,75;2,5
Santa Rita do Araguaia;2014;4,54166666666667;1,79;3,86;3,9;5,23;9,87;2,6
Santa Rita do Araguaia;2016;4,53833333333333;1,81;4,14;3,65;5,53;9,58;2,52
Santa Rita do Araguaia;2018;4,12333333333333;1,22;4,18;3,39;5,87;7,69;2,39
Santa Rita do Novo Destino;2012;3,855;1,23;4,86;0,87;4,86;9,38;1,93
Santa Rita do Novo Destino;2014;3,90333333333333;1,55;4,86;0,91;3,85;9,62;2,63
Santa Rita do Novo Destino;2016;4,27333333333333;1,35;5,04;0,86;6,58;8,85;2,96
Santa Rita do Novo Destino;2018;4,11666666666667;1,28;4,74;1,02;5,93;9,21;2,52
Santa Rosa de Goiás;2012;4,835;1,02;5,63;2,82;8,22;9,40;1,92
Santa Rosa de Goiás;2014;4,78833333333333;1,54;6,4;3,17;7,75;9,32;0,55
Santa Rosa de Goiás;2016;5,57333333333333;1,53;6,16;3,4;8,25;9,53;4,57
Santa Rosa de Goiás;2018;5,14333333333333;1,21;6,21;3,48;8,74;8,63;2,59
Santa Tereza de Goiás;2012;4,59833333333333;0,89;4,6;3,13;7,14;9,79;2,04
Santa Tereza de Goiás;2014;4,84333333333333;1,35;5,28;3,43;6,88;9,77;2,35
Santa Tereza de Goiás;2016;4,60833333333333;1,22;5,07;3,64;6,77;8,09;2,86
Santa Tereza de Goiás;2018;4,8;1,03;5,4;3,7;8,58;7,18;2,91
Santa Terezinha de Goiás;2012;4,33;1,1;5,44;2,11;7,62;8,05;1,66
Santa Terezinha de Goiás;2014;4,355;1,46;5,44;2,37;6,64;8,33;1,89
Santa Terezinha de Goiás;2016;4,375;1,5;5,33;2,39;6,48;8,32;2,23
Santa Terezinha de Goiás;2018;4,33666666666667;1,2;6,11;2,41;6,56;8,00;1,74
Santo Antônio da Barra;2012;4,60166666666667;1,26;5,18;2,14;6,4;8,54;4,09
Santo Antônio da Barra;2014;4,56333333333333;1,91;5,41;2,31;5,92;8,77;3,06
Santo Antônio da Barra;2016;4,61833333333333;1,6;5,04;2,4;6,55;8,48;3,64
Santo Antônio da Barra;2018;4,79833333333333;1,46;5,99;3;7,58;7,75;3,01
Santo Antônio de Goiás;2012;5,055;1,24;5,92;3,84;7,12;9,02;3,19
Santo Antônio de Goiás;2014;5,06666666666667;2,01;5,83;4,2;7,21;7,89;3,26
Santo Antônio de Goiás;2016;5,58166666666667;1,99;5,74;4,39;8,18;8,79;4,4
Santo Antônio de Goiás;2018;5,7;1,35;6,66;4,25;8,81;8,69;4,44
Santo Antônio do Descoberto;2012;4,13;1,08;4,91;2,56;6,79;5,75;3,69
Santo Antônio do Descoberto;2014;3,79666666666667;1,52;4,54;2,9;5,9;5,53;2,39
Santo Antônio do Descoberto;2016;4,03;1,51;5,11;3,26;5,64;5,38;3,28
Santo Antônio do Descoberto;2018;4,385;1,11;5,38;3,53;5,4;7,25;3,64
São Domingos;2012;3,795;0,83;4,36;1,41;6,86;7,34;1,97
São Domingos;2014;3,665;1,63;4,11;1,35;6,13;6,80;1,97
São Domingos;2016;3,61;1,56;4,34;1,26;5,77;5,91;2,82
São Domingos;2018;3,75333333333333;1,43;3,68;1,14;6,7;6,87;2,7
São Francisco de Goiás;2012;4,17333333333333;1,14;4,76;2,36;5,39;9,46;1,93
São Francisco de Goiás;2014;4,43333333333333;1,9;5,37;2,62;6,57;8,02;2,12
São Francisco de Goiás;2016;4,80166666666667;1,61;6,66;2,73;6,5;8,17;3,14
São Francisco de Goiás;2018;4,79166666666667;1,15;6,21;2,88;7,1;8,34;3,07
São João d'Aliança;2012;4,41833333333333;1,24;4,58;1,43;6,57;9,12;3,57
São João d'Aliança;2014;4,065;1,65;3,12;1,48;7,55;8,27;2,32
São João d'Aliança;2016;4,02;1,45;4,08;1,44;7,52;8,18;1,45
São João d'Aliança;2018;4,27166666666667;1,45;3,5;1,74;7,36;7,50;4,08
São João da Paraúna;2012;5,41166666666667;0,79;5,49;5,81;7,81;9,56;3,01
São João da Paraúna;2014;5,18666666666667;1,74;5,54;6,03;6,91;8,57;2,33
São João da Paraúna;2016;5,47166666666667;1,55;5,73;6,67;7,75;7,95;3,18
São João da Paraúna;2018;4,94166666666667;1,18;6,06;6,92;7,76;5,73;2
São Luis de Montes Belos;2012;5,16333333333333;1,15;5,83;5,48;8,03;8,12;2,37
São Luis de Montes Belos;2014;5,16833333333333;1,76;5,49;5,53;7,87;8,02;2,34
São Luis de Montes Belos;2016;5,015;1,91;5,06;5,73;6,91;6,94;3,54
São Luis de Montes Belos;2018;5,48166666666667;1,79;6,17;5,82;8,03;7,22;3,86
São Luiz do Norte;2012;4,03333333333333;1,11;5,06;2,09;6,46;6,81;2,67
São Luiz do Norte;2014;4,375;1,84;4,71;2,2;7,93;7,51;2,06
São Luiz do Norte;2016;4,77333333333333;1,44;5,94;2,26;6,95;8,52;3,53
São Luiz do Norte;2018;4,985;1,19;6,5;2,26;8,13;8,00;3,83
São Miguel do Araguaia;2012;4,675;1,33;4,95;3,18;8,57;7,80;2,22
São Miguel do Araguaia;2014;4,68333333333333;1,93;5,47;3,45;7,31;7,55;2,39
São Miguel do Araguaia;2016;4,57666666666667;1,81;5,91;3,52;6,93;6,38;2,91
São Miguel do Araguaia;2018;4,84833333333333;1,58;6,25;3,59;8,36;6,48;2,83
São Miguel do Passa Quatro;2012;4,57833333333333;1,42;5,65;1,98;7,57;8,73;2,12
São Miguel do Passa Quatro;2014;4,405;1,99;5,17;2,09;6,31;8,53;2,34
São Miguel do Passa Quatro;2016;4,9;1,78;5,89;2,4;8,04;8,56;2,73
São Miguel do Passa Quatro;2018;4,8;1,65;5,64;3,19;8,42;7,49;2,41
São Patrício;2012;5,095;0,95;5,5;1,88;8,04;9,90;4,3
São Patrício;2014;4,8;1,49;4,87;1,95;7,35;8,82;4,32
São Patrício;2016;5,02333333333333;1,6;6,38;1,9;7,33;8,42;4,51
São Patrício;2018;4,935;1,16;6,01;2,29;7,22;8,62;4,31
São Simão;2012;5,50166666666667;1,81;5,44;6,33;8,6;8,24;2,59
São Simão;2014;5,72666666666667;2,64;5,99;6,36;7,09;8,84;3,44
São Simão;2016;5,17833333333333;2,42;5,66;5,94;6,88;6,99;3,18
São Simão;2018;5,46166666666667;2,6;5,87;5,82;8,3;6,83;3,35
Senador Canedo;2012;3,925;1,47;4,75;3,22;6,68;4,88;2,55
Senador Canedo;2014;4,335;2,02;4,65;3,54;7,58;4,99;3,23
Senador Canedo;2016;4,81833333333333;2,45;6,24;3,61;7,22;6,04;3,35
Senador Canedo;2018;5,015;2,06;6,43;3,93;7,45;6,78;3,44
Serranópolis;2012;4,46333333333333;1,25;4,6;2,78;7,64;8,25;2,26
Serranópolis;2014;4,8;2;4,46;2,77;7,13;9,44;3
Serranópolis;2016;4,28666666666667;2,13;4,5;2,75;7,02;6,34;2,98
Serranópolis;2018;4,605;2,3;4,66;2,82;8,05;6,61;3,19
Silvânia;2012;4,65166666666667;1,43;5,12;3,73;7,62;7,81;2,2
Silvânia;2014;4,92166666666667;2,3;4,83;4,37;7,51;8,03;2,49
Silvânia;2016;4,8;2,38;4,52;4,31;7,33;7,29;2,97
Silvânia;2018;5,23166666666667;2,07;6,05;4,46;8,24;7,56;3,01
Simolândia;2012;3,985;1,16;5,34;2,26;6,61;6,58;1,96
Simolândia;2014;4,15;1,38;5,5;2,37;6,57;6,85;2,23
Simolândia;2016;4,36666666666667;1,47;5,39;2,32;6,65;7,09;3,28
Simolândia;2018;4,12666666666667;1,25;4,02;2,39;6,94;6,80;3,36
Sítio d'Abadia;2012;4,15666666666667;0,99;5,65;0,88;5,97;9,38;2,07
Sítio d'Abadia;2014;3,90833333333333;1,92;4,05;0,6;7,65;8,56;0,67
Sítio d'Abadia;2016;4,53666666666667;1,87;3,63;0,67;7,18;9,57;4,3
Sítio d'Abadia;2018;4,14833333333333;1,05;4,25;0,66;7,8;8,75;2,38
Taquaral de Goiás;2012;4,75;1,07;5,1;3,58;7,38;9,49;1,88
Taquaral de Goiás;2014;4,98666666666667;1,63;5,66;4,09;8,69;7,74;2,11
Taquaral de Goiás;2016;4,82666666666667;1,59;6,31;4,08;7,52;6,50;2,96
Taquaral de Goiás;2018;5,205;1,07;6,42;4,31;8,98;7,65;2,8
Teresina de Goiás;2012;4,38833333333333;1,03;4,83;2,03;6,57;9,99;1,88
Teresina de Goiás;2014;4,53833333333333;1,36;4,95;1,96;6,88;9,94;2,14
Teresina de Goiás;2016;4,205;1,22;4,77;1,85;7,02;7,61;2,76
Teresina de Goiás;2018;3,97833333333333;0,89;3,49;2,07;7,17;7,53;2,72
Terezópolis de Goiás;2012;4,09333333333333;1,45;5,27;2,78;6,47;5,75;2,84
Terezópolis de Goiás;2014;3,945;1,7;5,01;3,16;5,71;5,98;2,11
Terezópolis de Goiás;2016;4,74;1,42;5,02;4,78;6,42;7,29;3,51
Terezópolis de Goiás;2018;4,48833333333333;1,19;5,59;4,81;6,29;5,52;3,53
Três Ranchos;2012;4,47;1,03;6,72;5,08;6,35;5,61;2,03
Três Ranchos;2014;4,99;1,52;6,34;5,38;7,11;6,99;2,6
Três Ranchos;2016;4,86333333333333;1,55;5,59;5,33;7,4;6,54;2,77
Três Ranchos;2018;4,88833333333333;1,1;5,81;5,54;7,95;5,91;3,02
Trindade;2012;4,78;1,64;4,74;4,43;8,26;7,13;2,48
Trindade;2014;4,54166666666667;2,1;4,39;4,77;7,09;6,69;2,21
Trindade;2016;4,66;2,06;5;4,85;7,42;5,53;3,1
Trindade;2018;5,21666666666667;1,82;5,94;5,42;7,73;7,09;3,3
Trombas;2012;4,66333333333333;0,98;5,14;1,97;8,31;9,96;1,62
Trombas;2014;4,62;1,55;5,68;1,87;8,51;9,42;0,69
Trombas;2016;5,25333333333333;1,24;6,27;2,39;8,09;9,52;4,01
Trombas;2018;4,81666666666667;1,04;5,95;2,23;8,68;8,76;2,24
Turvânia;2012;4,97;1,44;5,84;3,34;8,15;8,89;2,16
Turvânia;2014;4,80666666666667;1,81;5,61;3,49;8,28;7,81;1,84
Turvânia;2016;5,03;1,45;5,93;3,38;8,9;7,84;2,68
Turvânia;2018;4,58;1,08;5,79;3,52;8,26;5,92;2,91
Turvelândia;2012;5,35166666666667;1,75;5,68;1,98;8,42;9,22;5,06
Turvelândia;2014;4,91833333333333;2,35;6,06;2,28;6,01;8,36;4,45
Turvelândia;2016;4,99166666666667;2,07;6,18;2,38;7,14;7,53;4,65
Turvelândia;2018;5,03833333333333;2,34;5,19;2,52;8,34;7,81;4,03
Uirapuru;2012;4,27333333333333;1,04;4,8;2,22;6,2;9,07;2,31
Uirapuru;2014;4,47;1,37;5,34;2,38;5,63;9,48;2,62
Uirapuru;2016;4,83166666666667;0,94;5,17;2,29;7,37;9,81;3,41
Uirapuru;2018;4,48166666666667;0,67;4,66;2,15;6,85;9,31;3,25
Uruaçu;2012;4,53166666666667;1,33;5,13;4,32;7,11;6,82;2,48
Uruaçu;2014;5,04833333333333;1,96;5,63;4,83;8,05;7,46;2,36
Uruaçu;2016;5,14166666666667;1,81;5,62;5;8,04;6,89;3,49
Uruaçu;2018;5,17333333333333;1,37;6,05;5,1;7,9;6,77;3,85
Uruana;2012;4,535;1,24;5,51;3,09;7,32;8,26;1,79
Uruana;2014;4,435;1,43;5,49;3,14;7,45;7,04;2,06
Uruana;2016;4,57833333333333;1,2;5,35;3,1;6,95;8,09;2,78
Uruana;2018;4,875;1,07;6,25;3,24;8,32;7,84;2,53
Urutaí;2012;4,02166666666667;1,17;6,4;3,82;5,57;4,27;2,9
Urutaí;2014;4,28;1,1;5,39;4,07;5,61;6,18;3,33
Urutaí;2016;4,75333333333333;1,76;5,53;4,19;6,63;5,89;4,52
Urutaí;2018;4,73833333333333;1,24;5,51;4,65;6,67;5,89;4,47
Valparaíso de Goiás;2012;4,545;1,66;5,49;4,08;6,31;6,88;2,85
Valparaíso de Goiás;2014;4,145;1,96;4,44;4,4;5,41;6,39;2,27
Valparaíso de Goiás;2016;4,31333333333333;2,04;5;4,82;5,53;5,02;3,47
Valparaíso de Goiás;2018;4,69833333333333;1,84;5,68;4,89;5,49;6,45;3,84
Varjão;2012;4,62666666666667;1,18;5,52;2,48;6,97;9,88;1,73
Varjão;2014;4,575;1,65;6,38;2,6;6,63;7,94;2,25
Varjão;2016;3,98;1,49;4,67;2,6;6,53;6,42;2,17
Varjão;2018;4,155;1,15;5,35;2,6;6,32;7,55;1,96
Vianópolis;2012;4,25166666666667;1,09;5,96;2,98;7,36;5,94;2,18
Vianópolis;2014;4,56;2,02;5,52;3,16;6,78;7,67;2,21
Vianópolis;2016;4,65333333333333;2,01;6,06;3,06;7,22;6,91;2,66
Vianópolis;2018;4,75;1,69;5,93;3,22;8,47;6,62;2,57
Vicentinópolis;2012;4,93666666666667;0,97;4,96;2,83;8,48;9,68;2,7
Vicentinópolis;2014;5,145;1,98;5,58;2,67;7,55;9,25;3,84
Vicentinópolis;2016;4,69333333333333;2,37;5,33;2,54;7,77;6,90;3,25
Vicentinópolis;2018;4,93666666666667;1,81;5,33;2,56;7,89;8,72;3,31
Vila Boa;2012;4,31166666666667;1,07;3,27;1,95;8,01;9,14;2,43
Vila Boa;2014;4,49166666666667;1,53;4,34;1,88;7,5;9,29;2,41
Vila Boa;2016;4,61833333333333;1,64;4,81;1,67;7,94;8,93;2,72
Vila Boa;2018;4,09833333333333;1,58;4,76;1,8;7,27;7,46;1,72
Vila Propício;2012;3,285;1,35;5,05;0,32;4,2;7,41;1,38
Vila Propício;2014;4,205;1,85;5,29;0,42;5,77;8,42;3,48
Vila Propício;2016;3,85;1,63;4,96;0,73;5,75;7,62;2,41
Vila Propício;2018;4,015;1,67;4,9;0,84;7,24;6,90;2,54
